#DATA_BASE;UF;CODMUN;MUNICIPIO;CNPJ;NOME_INSTITUICAO;AGEN_ESPERADAS;AGEN_PROCESSADAS;VERBETE_110_DISPONIBILIDADES;VERBETE_111_CAIXA;VERBETE_112_DEPOSITOS_BANCARIOS;VERBETE_113_BACEN_RESERV_BANC_EM_ESPECIE;VERBETE_120_APLIC_INTERFINANC_DE_LIQUIDEZ;VERBETE_130_TIT_E_VAL_MOB_E_INST_FIN_DERIV;VERBETE_140_REL_INTERFINANC_E_INTERDEPEND;VERBETE_141_CORRESPONDENTES_NO_EXTERIOR + VERBETE_142_CORRESPONDENTES_NO_PAIS;"VERBETE_144_COBRANCA_EM_TRANSITO + VERBETE_145_ORDENS_DE_PAGAMENTO	+ VERBETE_146_VAL_LIGADAS_E_TERC_EM_TRANSITO + VERBETE_147_DEPENDENCIAS_NO_PAIS	+ VERBETE_152_SUPRIMENTOS_INTERDEPENDENCIAS";VERBETE_158_OUTR_REL_INTERF_E_INTERDEPEND;VERBETE_160_OPERACOES_DE_CREDITO;VERBETE_161_EMPRES_E_TIT_DESCONTADOS;VERBETE_162_FINANCIAMENTOS;VERBETE_163_FIN_RURAIS_AGRICUL_CUST/INVEST;VERBETE_167_FINANCIAMENTOS_AGROINDUSTRIAIS;VERBETE_169_FINANCIAMENTOS_IMOBILIARIOS;VERBETE_171_OUTRAS_OPERACOES_DE_CREDITO;VERBETE_172_OUTROS_CREDITOS;VERBETE_174_PROV_P/_OPER_CREDITOS;VERBETE_176_OPERACOES_ESPECIAIS;VERBETE_180_ARRENDAMENTO_MERCANTIL;VERBETE_184_PROV_P/OPER_ARR_MERCANTIL;VERBETE_190_OUTROS_VALORES_E_BENS;VERBETE_200_PERMANENTE;VERBETE_399_TOTAL_DO_ATIVO;VERBETE_401_SERVICOS_PUBLICOS + VERBETE_402_ATIVIDADES_EMPRESARIAIS + VERBETE_403_ESPECIAIS_DO_TESOURO_NACIONAL + VERBETE_404_SALDOS_CREDORES_EM_CONTAS_DE_EMPRESTIMOS_E_FINAN + VERBETE_411_DE_PESSOAS_FISICAS + VERBETE_412_DE_PESSOAS_JURIDICAS + VERBETE_413_DE_INSTITUICOES_FINANCEIRAS + VERBETE_414_JUDICIAIS + VERBETE_415_OBRIGATORIOS + VERBETE_416_PARA_INVESTIMENTOS + VERBETE_417_VINCULADOS + VERBETE_418_DEMAIS_DEPOSITOS + VERBETE_419_SLD_CRED_CTAS_EMPR_FINANC_OUTR;VERBETE_420_DEPOSITOS_DE_POUPANCA;VERBETE_430_DEPOSITOS_INTERIFNANCEIROS;VERBETE_431_DEPOSITOS_INTERFINANCEIROS;VERBETE_432_DEPOSITOS_A_PRAZO;VERBETE_433_CAPTACEOS_NO_MERCADO_ABERTO;VERBETE_440_REL_INTERFINANC_E_INTERDEPEND;VERBETE_441_CORRESPONDENTES_NO_EXTERIOR + VERBETE_442_CORRESPONDENTES_NO_PAIS;VERBETE_444_COBRANCA_EM_TRANSITO + VERBETE_445_ORDENS_DE_PAGAMENTO + VERBETE_446_VAL_DE_LIG_E_TERC_EM_TRANSITO + VERBETE_447_DEPENDENCIAS_NO_PAIS + VERBETE_456_SUPRIM_INTERDEPARTAMENTAIS + VERBETE_458_OUTR_REL_INTERFIN_INTERDEPEND;VERBETE_460_OBRIG_POR_EMP_E_REPASSES;VERBETE_461_BANCO_CENTRAL_ASSISTENCIA_FINANCEIRA + VERBETE_467_OPERACOES_ESPECIAIS + VERBETE_468_OUTR_OBRIG_POR_EMPR_E_REPASSES;VERBETE_470_INST_FINANCEIROS_DERIVATIVOS;VERBETE_480_OBRIGACOES_POR_RECEBIMENTO;VERBETE_481_IOF + VERBETE_482_CONTRIBUICOES_PREVIDENCIARIAS + VERBETE_483_TRIBUTOS_ESTAD_E_MUNICIPAIS + VERBETE_484_TRIBUTOS_FEDERAIS + VERBETE_485_FGTS + VERBETE_487_DEMAIS_RECEBIMENTOS;VERBETE_490_CHEQUES_ADMINISTRATIVOS + VERBETE_500_OUTRAS_OBRIGACOES;VERBETE_610_PATRIMONIO_LIQUIDO;VERBETE_710_CONTAS_DE_RESULTADO;VERBETE_711_CONTAS_CREDORAS;VERBETE_712_CONTAS_DEVEDORAS;VERBETE_899_TOTAL_DO_PASSIVO;CODMUN_IBGE
202305;AC;5184;MANOEL URBANO;00360305;CAIXA ECONOMICA FEDERAL;1;1;0;0;0;0;0;0;-12556551;80104;170000;-12806655;25823558;19194360;53622;3430248;0;4425521;104375;0;-1384569;0;0;0;145446;0;13412454;797089;9715555;174692;0;174692;0;67696;0;67696;0;0;0;16329;16329;1036708;0;1604384;2065848;-461464;13412454;1200344
202305;AC;9465;ASSIS BRASIL;00360305;CAIXA ECONOMICA FEDERAL;1;1;1075968;1075968;0;0;0;0;-8205629;211709;0;-8417338;14908681;13428314;1383;1771584;0;415732;0;0;-708331;0;0;0;0;0;7779021;530196;4987261;273537;0;273537;0;16381;0;16381;0;0;0;10305;10305;1011161;0;950179;1327484;-377305;7779021;1200054
202305;AC;15978;FEIJO;00360305;CAIXA ECONOMICA FEDERAL;1;1;1975722;1975722;0;0;0;0;-33476939;184415;0;-33661354;57288714;39443523;3559;915498;0;18582055;135671;0;-1791592;0;0;0;0;0;25787497;1043635;17199597;641095;0;641095;0;72783;700;72083;0;0;0;21427;21428;3902987;0;2905972;3979672;-1073700;25787497;1200302
202305;AC;15978;FEIJO;04902979;BCO DA AMAZONIA S.A.;1;1;592652;592652;0;0;0;0;0;0;0;0;12527863;4307955;100298;8110094;0;0;0;9516;0;0;0;0;0;0;13120515;4114859;6748062;448233;0;448233;0;1196550;0;1196551;0;0;0;165;165;33824;0;578823;855509;-276687;13120515;1200302
202305;AC;18690;XAPURI;04902979;BCO DA AMAZONIA S.A.;1;1;190107;190107;0;0;0;0;6182;0;0;6182;39020630;6287483;2637569;30087708;0;0;0;7870;0;0;0;0;0;0;39216919;4802216;5849531;301213;0;301213;0;26882224;0;26882224;0;0;0;1673;1673;5612;0;1374450;1608609;-234158;39216919;1200708
202305;AC;27478;TARAUACA;00000000;BCO DO BRASIL S.A.;1;1;1583832;1583832;0;0;0;480637;2057590;42610;2014979;0;222241661;115097884;2121757;90096121;5;2091895;0;12833999;0;0;0;0;22310;0;226386030;12403050;26382165;6707550;0;6707550;0;164793992;0;164793991;0;0;0;232108;232108;1465893;0;14401272;16692809;-2291537;226386030;1200609
202305;AC;27478;TARAUACA;00360305;CAIXA ECONOMICA FEDERAL;1;1;1872044;1872044;0;0;0;0;-51540358;112964;0;-51653322;90741723;66885659;0;484627;0;25984131;953247;0;-3565941;0;0;0;0;0;41073409;2129027;23252024;2871378;0;2871378;0;122829;2840;119989;0;0;0;56935;56934;8076433;0;4564782;6161638;-1596856;41073409;1200609
202305;AC;27478;TARAUACA;04902979;BCO DA AMAZONIA S.A.;1;1;349259;349259;0;0;0;0;358;0;0;358;23682501;5235123;235443;18132691;0;0;0;79245;0;0;0;0;0;0;24032119;4069498;6937568;132786;0;132786;0;11933159;0;11933160;0;0;0;34359;34359;8038;0;916711;1195131;-278420;24032119;1200609
202305;AC;29074;SENA MADUREIRA;00000000;BCO DO BRASIL S.A.;1;1;1151142;1151142;0;0;0;0;1938158;11180;1926978;0;165122917;57540896;598101;97695212;0;1487613;0;7801095;0;0;0;0;14510;0;168226727;8716233;19454644;16284164;0;16284164;0;115212201;0;115212202;0;0;3;180868;180868;857720;0;7520895;9768668;-2247773;168226727;1200500
202305;AC;29074;SENA MADUREIRA;00360305;CAIXA ECONOMICA FEDERAL;1;1;2428221;2428221;0;0;0;0;-49182530;160479;0;-49343009;98900636;41046990;110920;26549224;0;34129378;195662;0;-3131538;0;0;0;2044134;0;54190460;3213017;39844331;2132630;0;2132630;0;151166;620;150546;0;0;0;21440;21440;4837359;0;3990517;6113017;-2122500;54190460;1200500
202305;AC;29074;SENA MADUREIRA;04902979;BCO DA AMAZONIA S.A.;1;1;206664;206664;0;0;0;0;0;0;0;0;22453258;8698753;3497492;10073691;0;0;0;183322;0;0;0;0;0;0;22659922;6678096;12143102;60719;0;60719;0;2820513;0;2820513;0;0;0;283;283;12389;0;944820;1390426;-445607;22659922;1200500
202305;AC;29988;PLACIDO DE CASTRO;00000000;BCO DO BRASIL S.A.;1;1;1567914;1567914;0;0;0;0;723413;10988;712426;0;99317512;31489944;796087;62816783;0;340269;0;3874429;0;0;0;0;7255;0;101616095;3762799;11209474;3625038;0;3625038;0;77187868;0;77187868;0;0;0;113754;113754;787734;0;4929426;5734134;-804708;101616095;1200385
