#DATA_BASE;UF;CODMUN;MUNICIPIO;CNPJ;NOME_INSTITUICAO;AGEN_ESPERADAS;AGEN_PROCESSADAS;VERBETE_110_DISPONIBILIDADES;VERBETE_111_CAIXA;VERBETE_112_DEPOSITOS_BANCARIOS;VERBETE_113_BACEN_RESERV_BANC_EM_ESPECIE;VERBETE_120_APLIC_INTERFINANC_DE_LIQUIDEZ;VERBETE_130_TIT_E_VAL_MOB_E_INST_FIN_DERIV;VERBETE_140_REL_INTERFINANC_E_INTERDEPEND;VERBETE_141_CORRESPONDENTES_NO_EXTERIOR + VERBETE_142_CORRESPONDENTES_NO_PAIS;"VERBETE_144_COBRANCA_EM_TRANSITO + VERBETE_145_ORDENS_DE_PAGAMENTO	+ VERBETE_146_VAL_LIGADAS_E_TERC_EM_TRANSITO + VERBETE_147_DEPENDENCIAS_NO_PAIS	+ VERBETE_152_SUPRIMENTOS_INTERDEPENDENCIAS";VERBETE_158_OUTR_REL_INTERF_E_INTERDEPEND;VERBETE_160_OPERACOES_DE_CREDITO;VERBETE_161_EMPRES_E_TIT_DESCONTADOS;VERBETE_162_FINANCIAMENTOS;VERBETE_163_FIN_RURAIS_AGRICUL_CUST/INVEST;VERBETE_167_FINANCIAMENTOS_AGROINDUSTRIAIS;VERBETE_169_FINANCIAMENTOS_IMOBILIARIOS;VERBETE_171_OUTRAS_OPERACOES_DE_CREDITO;VERBETE_172_OUTROS_CREDITOS;VERBETE_174_PROV_P/_OPER_CREDITOS;VERBETE_176_OPERACOES_ESPECIAIS;VERBETE_180_ARRENDAMENTO_MERCANTIL;VERBETE_184_PROV_P/OPER_ARR_MERCANTIL;VERBETE_190_OUTROS_VALORES_E_BENS;VERBETE_200_PERMANENTE;VERBETE_399_TOTAL_DO_ATIVO;VERBETE_401_SERVICOS_PUBLICOS + VERBETE_402_ATIVIDADES_EMPRESARIAIS + VERBETE_403_ESPECIAIS_DO_TESOURO_NACIONAL + VERBETE_404_SALDOS_CREDORES_EM_CONTAS_DE_EMPRESTIMOS_E_FINAN + VERBETE_411_DE_PESSOAS_FISICAS + VERBETE_412_DE_PESSOAS_JURIDICAS + VERBETE_413_DE_INSTITUICOES_FINANCEIRAS + VERBETE_414_JUDICIAIS + VERBETE_415_OBRIGATORIOS + VERBETE_416_PARA_INVESTIMENTOS + VERBETE_417_VINCULADOS + VERBETE_418_DEMAIS_DEPOSITOS + VERBETE_419_SLD_CRED_CTAS_EMPR_FINANC_OUTR;VERBETE_420_DEPOSITOS_DE_POUPANCA;VERBETE_430_DEPOSITOS_INTERIFNANCEIROS;VERBETE_431_DEPOSITOS_INTERFINANCEIROS;VERBETE_432_DEPOSITOS_A_PRAZO;VERBETE_433_CAPTACEOS_NO_MERCADO_ABERTO;VERBETE_440_REL_INTERFINANC_E_INTERDEPEND;VERBETE_441_CORRESPONDENTES_NO_EXTERIOR + VERBETE_442_CORRESPONDENTES_NO_PAIS;VERBETE_444_COBRANCA_EM_TRANSITO + VERBETE_445_ORDENS_DE_PAGAMENTO + VERBETE_446_VAL_DE_LIG_E_TERC_EM_TRANSITO + VERBETE_447_DEPENDENCIAS_NO_PAIS + VERBETE_456_SUPRIM_INTERDEPARTAMENTAIS + VERBETE_458_OUTR_REL_INTERFIN_INTERDEPEND;VERBETE_460_OBRIG_POR_EMP_E_REPASSES;VERBETE_461_BANCO_CENTRAL_ASSISTENCIA_FINANCEIRA + VERBETE_467_OPERACOES_ESPECIAIS + VERBETE_468_OUTR_OBRIG_POR_EMPR_E_REPASSES;VERBETE_470_INST_FINANCEIROS_DERIVATIVOS;VERBETE_480_OBRIGACOES_POR_RECEBIMENTO;VERBETE_481_IOF + VERBETE_482_CONTRIBUICOES_PREVIDENCIARIAS + VERBETE_483_TRIBUTOS_ESTAD_E_MUNICIPAIS + VERBETE_484_TRIBUTOS_FEDERAIS + VERBETE_485_FGTS + VERBETE_487_DEMAIS_RECEBIMENTOS;VERBETE_490_CHEQUES_ADMINISTRATIVOS + VERBETE_500_OUTRAS_OBRIGACOES;VERBETE_610_PATRIMONIO_LIQUIDO;VERBETE_710_CONTAS_DE_RESULTADO;VERBETE_711_CONTAS_CREDORAS;VERBETE_712_CONTAS_DEVEDORAS;VERBETE_899_TOTAL_DO_PASSIVO;CODMUN_IBGE
202507;AC;5184;MANOEL URBANO;00360305;CAIXA ECONOMICA FEDERAL;1;1;202214;202214;0;0;0;0;-7246818;2807;0;-7249624;29303751;21898076;109269;3322061;0;3755586;0;218758;0;0;0;0;0;0;22259147;3715184;14811094;938016;0;938016;0;69624;0;69624;0;0;0;28296;28296;2408458;0;250641;485643;-235002;22221313;1200344
202507;AC;9465;ASSIS BRASIL;00360305;CAIXA ECONOMICA FEDERAL;1;1;1366479;1366479;0;0;0;0;-5018607;64957;0;-5083564;17323329;14485685;324;59884;0;2756667;0;20770;0;0;0;0;0;0;13671201;1789468;7870340;1505494;0;1505494;0;31497;200;31297;0;0;0;3747;3747;2259973;0;180726;318373;-137646;13641245;1200054
202507;AC;15978;FEIJO;00360305;CAIXA ECONOMICA FEDERAL;1;1;2603083;2603083;0;0;0;0;-36872856;241524;0;-37114380;72038925;45537801;0;355656;0;25691395;0;454073;0;0;0;0;0;0;37769152;2580324;23867429;3088762;0;3088762;0;61966;120;61846;0;0;0;33795;33794;7460698;0;484865;1114534;-629669;37577837;1200302
202507;AC;15978;FEIJO;04902979;BCO DA AMAZONIA S.A.;1;1;452096;452096;0;0;0;0;0;0;0;0;15630221;6451422;2247494;6916151;0;0;0;15154;0;0;0;0;0;0;16082317;5336679;6976709;545225;0;545225;0;2988141;0;2988141;0;0;0;4770;4770;70974;0;159819;222997;-63178;16082317;1200302
202507;AC;18690;XAPURI;04902979;BCO DA AMAZONIA S.A.;1;1;385787;385787;0;0;0;0;6182;0;0;6182;58452270;5835939;9360491;43247794;0;0;0;8046;0;0;0;0;0;0;58844239;8380488;6875266;220908;0;220908;0;42917248;0;42917248;0;0;0;2309;2309;17714;0;430306;484505;-54199;58844239;1200708
202507;AC;27478;TARAUACA;00000000;BCO DO BRASIL S.A.;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202507;AC;27478;TARAUACA;00360305;CAIXA ECONOMICA FEDERAL;1;1;2203033;2203033;0;0;0;0;-58008597;0;0;-58008597;110308368;76655751;0;1443129;0;31953532;0;255956;0;0;0;0;200117;0;54702920;4105919;29842484;8533535;0;8533535;0;187047;70;186977;0;0;0;34860;34861;9133235;0;1214448;1676541;-462093;53051529;1200609
202507;AC;27478;TARAUACA;04902979;BCO DA AMAZONIA S.A.;1;1;349424;349424;0;0;0;0;358;0;0;358;48265728;8383222;6456178;33344322;0;0;0;82005;0;0;0;0;0;0;48615510;8394975;8632267;200598;0;200598;0;30570436;0;30570436;0;0;0;1407;1407;18623;0;797205;876042;-78837;48615510;1200609
202507;AC;29074;SENA MADUREIRA;00000000;BCO DO BRASIL S.A.;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202507;AC;29074;SENA MADUREIRA;00360305;CAIXA ECONOMICA FEDERAL;1;1;2270379;2270379;0;0;0;0;-28663438;91926;0;-28755364;106196604;41563505;143328;30690575;0;33543498;0;255698;0;0;0;0;1443126;0;81246671;5454403;54249778;3204601;0;3204601;0;138186;1410;136776;0;0;0;51621;51620;12409130;0;5428944;1439102;3989841;80936662;1200500
202507;AC;29074;SENA MADUREIRA;04902979;BCO DA AMAZONIA S.A.;1;1;178128;178128;0;0;0;0;-4626137;0;-4626137;0;38996749;11878134;4312270;22648687;0;0;0;157658;0;0;0;0;0;0;34548740;5078278;11988080;69300;0;69300;0;17062926;0;17062926;0;0;0;9715;9715;48747;0;291695;384635;-92940;34548740;1200500
202507;AC;29988;PLACIDO DE CASTRO;00000000;BCO DO BRASIL S.A.;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202507;AC;29988;PLACIDO DE CASTRO;04902979;BCO DA AMAZONIA S.A.;1;1;481516;481516;0;0;0;0;0;0;0;0;43841598;12141372;7419546;24257773;0;0;0;22907;0;0;0;0;0;0;44323113;6007552;1513577;6918;0;6918;0;36312538;0;36312538;0;0;0;909;909;62060;0;419560;445141;-25581;44323113;1200385
202507;AC;33730;SENADOR GUIOMARD;00000000;BCO DO BRASIL S.A.;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
