#DATA_BASE;UF;CODMUN;MUNICIPIO;CNPJ;NOME_INSTITUICAO;AGEN_ESPERADAS;AGEN_PROCESSADAS;VERBETE_110_ENCAIXE;VERBETE_111_CAIXA;VERBETE_112_DEPOSITOS_BANCARIOS;VERBETE_113_BACEN_RESERV_BANC_EM_ESPECIE;VERBETE_114_APLIC_TEMPORARIAS_EM_OURO;VERBETE_120_APLIC_INTERFINANC_DE_LIQUIDEZ;VERBETE_130_TIT_E_VAL_MOB_E_INST_FIN_DERIV;VERBETE_140_REL_INTERFINANC_E_INTERDEPEND;VERBETE_141_CORRESPONDENTES_NO_EXTERIOR + VERBETE_142_CORRESPONDENTES_NO_PAIS;VERBETE_143_DEPEND_MATRIZ_E_CONGENERES_NO_EXTERIOR_EM;"VERBETE_144_COBRANCA_EM_TRANSITO + VERBETE_145_ORDENS_DE_PAGAMENTO	+ VERBETE_146_VAL_LIGADAS_E_TERC_EM_TRANSITO + VERBETE_147_DEPENDENCIAS_NO_PAIS	+ VERBETE_152_SUPRIMENTOS_INTERDEPENDENCIAS";VERBETE_153_RELACOES_COM_A_CARTEIRA_DE_CAMBIO_E_DE_DESENVOL;VERBETE_158_OUTR_REL_INTERF_E_INTERDEPEND;VERBETE_160_OPERACOES_DE_CREDITO;VERBETE_161_EMPRES_E_TIT_DESCONTADOS;VERBETE_162_FINANCIAMENTOS;VERBETE_163_FIN_RURAIS_AGRICUL_CUST/INVEST;VERBETE_164_FIN_RURAIS_PECUAR_CUST/INVEST;VERBETE_165_FIN_RURAIS_AGRICUL_COMERCIALIZ;VERBETE_166_FIN_RURAIS_PECUARIA_COMERCIALIZ;VERBETE_167_FINANCIAMENTOS_AGROINDUSTRIAIS+VERBETE_168_RENDAS_A_APROPRIAR_FINANC_RURAIS_AGROINDUSTRIAIS;VERBETE_169_FINANCIAMENTOS_IMOBILIARIOS;VERBETE_171_OUTRAS_OPERACOES_DE_CREDITO;VERBETE_172_OUTROS_CREDITOS;VERBETE_173_CREDITOS_EM_LIQUIDACAO;VERBETE_174_PROV_P/_OPER_CREDITOS;VERBETE_176_OPERACOES_ESPECIAIS;VERBETE_180_ARRENDAMENTO_MERCANTIL;VERBETE_184_PROV_P/OPER_ARR_MERCANTIL;VERBETE_190_OUTROS_VALORES_E_BENS;VERBETE_200_PERMANENTE;VERBETE_300_CONTAS_DE_COMPENSACAO;VERBETE_399_TOTAL_DO_ATIVO;VERBETE_401_SERVICOS_PUBLICOS + VERBETE_402_ATIVIDADES_EMPRESARIAIS + VERBETE_403_ESPECIAIS_DO_TESOURO_NACIONAL + VERBETE_404_SALDOS_CREDORES_EM_CONTAS_DE_EMPRESTIMOS_E_FINAN + VERBETE_411_DE_PESSOAS_FISICAS + VERBETE_412_DE_PESSOAS_JURIDICAS + VERBETE_413_DE_INSTITUICOES_FINANCEIRAS + VERBETE_414_JUDICIAIS + VERBETE_415_OBRIGATORIOS + VERBETE_416_PARA_INVESTIMENTOS + VERBETE_417_VINCULADOS + VERBETE_418_DEMAIS_DEPOSITOS + VERBETE_419_SLD_CRED_CTAS_EMPR_FINANC_OUTR;VERBETE_420_DEPOSITOS_DE_POUPANCA;VERBETE_430_DEPOSITOS_INTERIFNANCEIROS;VERBETE_431_DEPOSITOS_INTERFINANCEIROS;VERBETE_432_DEPOSITOS_A_PRAZO;VERBETE_433_CAPTACEOS_NO_MERCADO_ABERTO;VERBETE_440_REL_INTERFINANC_E_INTERDEPEND;VERBETE_441_CORRESPONDENTES_NO_EXTERIOR + VERBETE_442_CORRESPONDENTES_NO_PAIS;VERBETE_443_DEPENDENCIAS_MATRIZ_E_CONGENERES_NO_EXTERIOR;VERBETE_444_COBRANCA_EM_TRANSITO + VERBETE_445_ORDENS_DE_PAGAMENTO + VERBETE_446_VAL_DE_LIG_E_TERC_EM_TRANSITO + VERBETE_447_DEPENDENCIAS_NO_PAIS + VERBETE_456_SUPRIM_INTERDEPARTAMENTAIS + VERBETE_458_OUTR_REL_INTERFIN_INTERDEPEND;VERBETE_457_RELACOES_COM_A_CARTEIRA_DE_CAMBIO_E_DE_DESENVOLV;VERBETE_460_OBRIG_POR_EMP_E_REPASSES;VERBETE_461_BANCO_CENTRAL_ASSISTENCIA_FINANCEIRA + VERBETE_462_REDESCONTO + VERBETE_463_REFINANCIAMENTOS + VERBETE_467_OPERACOES_ESPECIAIS + VERBETE_468_OUTR_OBRIG_POR_EMPR_E_REPASSES;VERBETE_470_INST_FINANCEIROS_DERIVATIVOS;VERBETE_480_OBRIGACOES_POR_RECEBIMENTO;VERBETE_481_IOF + VERBETE_482_CONTRIBUICOES_PREVIDENCIARIAS + VERBETE_483_TRIBUTOS_ESTAD_E_MUNICIPAIS + VERBETE_484_TRIBUTOS_FEDERAIS + VERBETE_485_FGTS + VERBETE_487_DEMAIS_RECEBIMENTOS;VERBETE_486_PIS/PASEP;VERBETE_490_CHEQUES_ADMINISTRATIVOS + VERBETE_500_OUTRAS_OBRIGACOES;VERBETE_610_PATRIMONIO_LIQUIDO;VERBETE_710_CONTAS_DE_RESULTADO;VERBETE_711_CONTAS_CREDORAS;VERBETE_712_CONTAS_DEVEDORAS;VERBETE_800_CONTAS_DE_COMPENSACAO;VERBETE_899_TOTAL_DO_PASSIVO;CODMUN_IBGE
201804;AC;1030;MANCIO LIMA;00000000;BCO DO BRASIL S.A.;1;1;615711;615711;0;0;0;0;0;317970;0;0;317970;;0;25128967;19726650;995278;2525720;0;0;0;36029;118648;0;1726642;0;0;0;0;0;6589;0;6886665;32955902;1592830;5761812;146441;0;146441;0;15280695;0;0;15280695;0;0;0;0;79158;79157;0;1008253;0;2200049;2571557;-371508;6886665;32955902;1200336
201804;AC;5184;MANOEL URBANO;00360305;CAIXA ECONOMICA FEDERAL;1;1;126568;126568;0;0;0;0;0;-5765649;53952;0;1658;;-5821258;13101255;7877070;111541;0;0;0;0;0;6408347;130963;0;0;-1426666;0;0;0;0;0;24525068;31987242;662637;5120610;748345;0;748345;0;29214;40;0;29174;0;0;0;0;6342;6343;0;426;0;894599;1201223;-306624;24525068;31987242;1200344
201804;AC;9465;ASSIS BRASIL;00360305;CAIXA ECONOMICA FEDERAL;1;1;293559;293559;0;0;0;0;0;-3603302;39586;0;4975;;-3647863;6892839;6610968;531221;0;0;0;0;0;864812;0;0;0;-1114162;0;0;0;0;0;15657346;19240441;381241;2279954;238010;0;238010;0;8206;210;0;7996;0;0;0;0;2488;2488;0;399;0;672798;907631;-234833;15657346;19240441;1200054
201804;AC;15978;FEIJO;00000000;BCO DO BRASIL S.A.;1;1;259627;259627;0;0;0;0;0;114702;0;0;114702;;0;19312324;8169780;410691;9366122;0;0;0;20331;0;0;1345400;0;0;0;0;0;4255;0;5017408;24708316;1589595;3293324;1711022;0;1711022;0;11181401;0;0;11181401;0;0;0;0;74139;74139;0;790242;0;1051186;1475393;-424206;5017408;24708316;1200302
201804;AC;15978;FEIJO;00360305;CAIXA ECONOMICA FEDERAL;1;1;1157219;1157219;0;0;0;0;0;-15452640;43530;0;1000;;-15497170;26140475;14168461;402965;0;0;0;0;0;13745720;167542;0;0;-2344213;0;0;0;788123;0;44508805;57141983;1215168;6036811;2563693;0;2563693;0;16888;1420;0;15468;0;0;0;0;18965;18965;0;365;0;2781288;2137236;644052;44508805;57141983;1200302
201804;AC;15978;FEIJO;04902979;BCO DA AMAZONIA S.A.;1;1;233617;233617;0;0;0;0;0;3237740;0;0;3237740;;0;3708815;3674622;0;0;0;0;0;0;0;0;34192;0;0;0;0;0;0;0;57079781;64259953;2291885;4086798;279211;0;279211;0;115628;0;0;115628;0;0;0;0;1118;1118;0;3319;0;402211;597633;-195422;57079781;64259953;1200302
201804;AC;18690;XAPURI;00000000;BCO DO BRASIL S.A.;1;1;1231299;1231299;0;0;0;0;0;373458;0;0;373458;;0;43915817;13427417;567368;28263751;0;0;0;1;0;0;1657280;0;0;0;0;0;6008;0;8118543;53645125;3371028;7954216;2159620;0;2159620;0;29296771;0;0;29296771;0;0;0;0;70149;70149;0;988691;0;1686107;2103410;-417302;8118543;53645125;1200708
201804;AC;18690;XAPURI;04902979;BCO DA AMAZONIA S.A.;1;1;137803;137803;0;0;0;0;0;5183213;0;0;5183213;;0;1608567;1565309;0;3026;0;0;0;0;0;0;40232;0;0;0;0;0;0;0;73902736;80832320;2517301;3707426;433262;0;433262;0;89299;0;0;89299;0;0;0;0;410;410;0;23232;0;158653;319715;-161062;73902736;80832320;1200708
201804;AC;27478;TARAUACA;00000000;BCO DO BRASIL S.A.;1;1;1642488;1642488;0;0;0;0;0;951312;0;0;951312;;0;65715287;37096471;2576993;21554663;0;0;0;37249;1142615;0;3307295;0;0;0;0;0;8458;0;21982257;90299802;3757716;7720209;2121105;0;2121105;0;48588086;0;0;48588086;0;0;0;0;386650;386650;0;1921372;0;3822408;4469622;-647214;21982257;90299802;1200609
201804;AC;27478;TARAUACA;00360305;CAIXA ECONOMICA FEDERAL;1;1;264531;264531;0;0;0;0;0;-26363234;42753;0;262;;-26406249;48652618;29459391;737928;253219;0;0;0;0;20803313;1415370;0;0;-4016603;0;0;0;1055471;0;93878763;117488149;2174840;12799048;4462351;0;4462351;0;53607;1150;0;52457;0;0;0;0;28589;28589;0;1361733;0;2729219;4059262;-1330043;93878763;117488149;1200609
201804;AC;27478;TARAUACA;04902979;BCO DA AMAZONIA S.A.;1;1;151879;151879;0;0;0;0;0;5306135;0;0;5304235;;1900;1949785;1941480;0;0;0;0;0;0;0;0;8306;0;0;0;0;0;0;0;46693990;54101790;1450867;5669161;21942;0;21942;0;121057;0;0;121057;0;0;0;0;31170;31170;0;1789;0;111813;344157;-232344;46693990;54101790;1200609
201804;AC;29074;SENA MADUREIRA;00000000;BCO DO BRASIL S.A.;1;1;1251095;1251095;0;0;0;0;0;1349518;0;0;1349518;;0;77452262;24828263;2205628;46088253;0;0;0;0;730311;115950;3483857;0;0;0;0;0;9962;0;21981751;102044589;7112037;11718729;15342895;0;15342895;0;39681681;0;0;39681681;0;0;0;2;470574;470574;0;1956871;0;3780049;4735949;-955900;21981751;102044589;1200500
201804;AC;29074;SENA MADUREIRA;00360305;CAIXA ECONOMICA FEDERAL;1;1;467940;467940;0;0;0;0;0;-23143170;195700;0;0;;-23338869;47346256;21158744;815721;823842;0;0;0;0;29952294;322714;0;0;-5727059;0;0;0;4696111;0;250193850;279560987;2048313;19103256;5826849;0;5826849;0;48013;1470;0;46543;0;0;0;0;13797;13797;0;31228;0;2295680;4267186;-1971506;250193850;279560987;1200500
201804;AC;29074;SENA MADUREIRA;04902979;BCO DA AMAZONIA S.A.;1;1;190107;190107;0;0;0;0;0;9427191;0;0;9427191;;0;1469698;1431706;0;11094;0;0;0;0;0;0;26897;0;0;0;0;0;0;0;106402297;117489293;2115529;8638826;63722;0;63722;0;210937;0;0;210937;0;0;0;0;1007;1007;0;20720;0;36254;320099;-283845;106402297;117489293;1200500
201804;AC;29988;PLACIDO DE CASTRO;00000000;BCO DO BRASIL S.A.;1;1;1115390;1115390;0;0;0;0;0;161861;0;0;161861;;0;43437833;11902560;553752;29650818;0;0;0;0;79283;0;1251420;0;0;0;0;0;5271;0;10954869;55675223;1773792;5702617;995326;0;995326;0;33594955;0;0;33594955;0;0;0;0;100752;100751;0;753508;0;1799405;2199898;-400492;10954869;55675223;1200385
201804;AC;29988;PLACIDO DE CASTRO;04902979;BCO DA AMAZONIA S.A.;1;1;50503;50503;0;0;0;0;0;886050;0;0;886050;;0;976611;943153;0;0;0;0;0;0;0;0;33458;0;0;0;0;0;0;0;63533540;65446704;1250155;534014;412;0;412;0;30618;0;0;30618;0;0;0;0;1732;1732;0;96571;0;-338;177849;-178187;63533540;65446704;1200385
201804;AC;33730;SENADOR GUIOMARD;00000000;BCO DO BRASIL S.A.;1;1;1008949;1008949;0;0;0;0;0;229433;0;0;229433;;0;67025546;14141557;716518;49285211;0;0;0;0;150806;0;2731455;0;0;0;0;0;7907;0;17131854;85403688;5570711;8831206;111481;0;111481;0;49953922;0;0;49953922;0;0;0;0;240479;240478;0;1437393;0;2126644;2826064;-699421;17131854;85403688;1200450
201804;AC;33730;SENADOR GUIOMARD;00360305;CAIXA ECONOMICA FEDERAL;1;1;846721;846721;0;0;0;0;0;-12334138;234334;0;3818;;-12572290;25576490;14889963;738292;66822;0;0;0;0;11902884;113593;0;0;-2135063;0;0;0;1240346;0;54650213;69979632;888315;8262840;4591069;0;4591069;0;73831;1800;0;72032;0;0;0;0;12058;12059;0;388;0;1500916;2433493;-932576;54650213;69979632;1200450
201804;AC;35680;CRUZEIRO DO SUL;00000000;BCO DO BRASIL S.A.;2;2;6138431;6138431;0;0;0;0;0;2381836;0;0;2381836;;0;124807364;96406302;7263061;2594251;0;0;0;208135;2263406;44913;16027295;0;0;0;0;0;37636;680000;67592931;201638198;19477571;43783726;6478969;0;6478969;0;41904969;0;0;41904969;0;0;0;0;805961;805961;0;9453775;0;12140295;14826110;-2685815;67592931;201638198;1200203
