#DATA_BASE;UF;CODMUN;MUNICIPIO;CNPJ;NOME_INSTITUICAO;AGEN_ESPERADAS;AGEN_PROCESSADAS;VERBETE_110_ENCAIXE;VERBETE_111_CAIXA;VERBETE_112_DEPOSITOS_BANCARIOS;VERBETE_113_BACEN_RESERV_BANC_EM_ESPECIE;VERBETE_114_APLIC_TEMPORARIAS_EM_OURO;VERBETE_120_APLIC_INTERFINANC_DE_LIQUIDEZ;VERBETE_130_TIT_E_VAL_MOB_E_INST_FIN_DERIV;VERBETE_140_REL_INTERFINANC_E_INTERDEPEND;VERBETE_141_CORRESPONDENTES_NO_EXTERIOR + VERBETE_142_CORRESPONDENTES_NO_PAIS;VERBETE_143_DEPEND_MATRIZ_E_CONGENERES_NO_EXTERIOR_EM;"VERBETE_144_COBRANCA_EM_TRANSITO + VERBETE_145_ORDENS_DE_PAGAMENTO	+ VERBETE_146_VAL_LIGADAS_E_TERC_EM_TRANSITO + VERBETE_147_DEPENDENCIAS_NO_PAIS	+ VERBETE_152_SUPRIMENTOS_INTERDEPENDENCIAS";VERBETE_153_RELACOES_COM_A_CARTEIRA_DE_CAMBIO_E_DE_DESENVOL;VERBETE_158_OUTR_REL_INTERF_E_INTERDEPEND;VERBETE_160_OPERACOES_DE_CREDITO;VERBETE_161_EMPRES_E_TIT_DESCONTADOS;VERBETE_162_FINANCIAMENTOS;VERBETE_163_FIN_RURAIS_AGRICUL_CUST/INVEST;VERBETE_164_FIN_RURAIS_PECUAR_CUST/INVEST;VERBETE_165_FIN_RURAIS_AGRICUL_COMERCIALIZ;VERBETE_166_FIN_RURAIS_PECUARIA_COMERCIALIZ;VERBETE_167_FINANCIAMENTOS_AGROINDUSTRIAIS+VERBETE_168_RENDAS_A_APROPRIAR_FINANC_RURAIS_AGROINDUSTRIAIS;VERBETE_169_FINANCIAMENTOS_IMOBILIARIOS;VERBETE_171_OUTRAS_OPERACOES_DE_CREDITO;VERBETE_172_OUTROS_CREDITOS;VERBETE_173_CREDITOS_EM_LIQUIDACAO;VERBETE_174_PROV_P/_OPER_CREDITOS;VERBETE_176_OPERACOES_ESPECIAIS;VERBETE_180_ARRENDAMENTO_MERCANTIL;VERBETE_184_PROV_P/OPER_ARR_MERCANTIL;VERBETE_190_OUTROS_VALORES_E_BENS;VERBETE_200_PERMANENTE;VERBETE_300_CONTAS_DE_COMPENSACAO;VERBETE_399_TOTAL_DO_ATIVO;VERBETE_401_SERVICOS_PUBLICOS + VERBETE_402_ATIVIDADES_EMPRESARIAIS + VERBETE_403_ESPECIAIS_DO_TESOURO_NACIONAL + VERBETE_404_SALDOS_CREDORES_EM_CONTAS_DE_EMPRESTIMOS_E_FINAN + VERBETE_411_DE_PESSOAS_FISICAS + VERBETE_412_DE_PESSOAS_JURIDICAS + VERBETE_413_DE_INSTITUICOES_FINANCEIRAS + VERBETE_414_JUDICIAIS + VERBETE_415_OBRIGATORIOS + VERBETE_416_PARA_INVESTIMENTOS + VERBETE_417_VINCULADOS + VERBETE_418_DEMAIS_DEPOSITOS + VERBETE_419_SLD_CRED_CTAS_EMPR_FINANC_OUTR;VERBETE_420_DEPOSITOS_DE_POUPANCA;VERBETE_430_DEPOSITOS_INTERIFNANCEIROS;VERBETE_431_DEPOSITOS_INTERFINANCEIROS;VERBETE_432_DEPOSITOS_A_PRAZO;VERBETE_433_CAPTACEOS_NO_MERCADO_ABERTO;VERBETE_440_REL_INTERFINANC_E_INTERDEPEND;VERBETE_441_CORRESPONDENTES_NO_EXTERIOR + VERBETE_442_CORRESPONDENTES_NO_PAIS;VERBETE_443_DEPENDENCIAS_MATRIZ_E_CONGENERES_NO_EXTERIOR;VERBETE_444_COBRANCA_EM_TRANSITO + VERBETE_445_ORDENS_DE_PAGAMENTO + VERBETE_446_VAL_DE_LIG_E_TERC_EM_TRANSITO + VERBETE_447_DEPENDENCIAS_NO_PAIS + VERBETE_456_SUPRIM_INTERDEPARTAMENTAIS + VERBETE_458_OUTR_REL_INTERFIN_INTERDEPEND;VERBETE_457_RELACOES_COM_A_CARTEIRA_DE_CAMBIO_E_DE_DESENVOLV;VERBETE_460_OBRIG_POR_EMP_E_REPASSES;VERBETE_461_BANCO_CENTRAL_ASSISTENCIA_FINANCEIRA + VERBETE_462_REDESCONTO + VERBETE_463_REFINANCIAMENTOS + VERBETE_467_OPERACOES_ESPECIAIS + VERBETE_468_OUTR_OBRIG_POR_EMPR_E_REPASSES;VERBETE_470_INST_FINANCEIROS_DERIVATIVOS;VERBETE_480_OBRIGACOES_POR_RECEBIMENTO;VERBETE_481_IOF + VERBETE_482_CONTRIBUICOES_PREVIDENCIARIAS + VERBETE_483_TRIBUTOS_ESTAD_E_MUNICIPAIS + VERBETE_484_TRIBUTOS_FEDERAIS + VERBETE_485_FGTS + VERBETE_487_DEMAIS_RECEBIMENTOS;VERBETE_486_PIS/PASEP;VERBETE_490_CHEQUES_ADMINISTRATIVOS + VERBETE_500_OUTRAS_OBRIGACOES;VERBETE_610_PATRIMONIO_LIQUIDO;VERBETE_710_CONTAS_DE_RESULTADO;VERBETE_711_CONTAS_CREDORAS;VERBETE_712_CONTAS_DEVEDORAS;VERBETE_800_CONTAS_DE_COMPENSACAO;VERBETE_899_TOTAL_DO_PASSIVO;CODMUN_IBGE
201912;AC;1030;MANCIO LIMA;00000000;BCO DO BRASIL S.A.;1;1;1326638;1326638;0;0;0;0;0;597627;1285;0;596342;;0;29964649;22299228;777237;3812069;0;0;0;0;273932;0;2802183;0;0;0;0;0;5774;0;8845870;40740558;2804842;8337224;306737;0;306737;0;15015670;0;0;15015670;0;0;0;0;4274;4274;0;1673308;0;3752632;4239419;-486787;8845870;40740558;1200336
201912;AC;5184;MANOEL URBANO;00360305;CAIXA ECONOMICA FEDERAL;1;1;835061;835061;0;0;0;0;0;-4538371;0;0;40000;;-4578371;14199714;9778365;115553;0;0;0;0;0;5722753;121398;0;0;-1538355;0;0;0;145446;0;34179473;44821323;1167069;7394926;535570;0;535570;0;38578;1170;0;37408;0;0;0;0;14500;14500;0;446131;0;1045076;1834680;-789604;34179473;44821323;1200344
201912;AC;9465;ASSIS BRASIL;00360305;CAIXA ECONOMICA FEDERAL;1;1;480311;480311;0;0;0;0;0;-1313932;41175;0;1198100;;-2553207;6320908;6217225;145160;0;0;0;0;0;734916;0;0;-14;-776379;0;0;0;0;0;16522362;22009648;461452;3244522;289381;0;289381;0;15766;0;0;15766;0;0;0;0;13321;13321;0;748562;0;714283;1146772;-432489;16522362;22009648;1200054
201912;AC;15978;FEIJO;00000000;BCO DO BRASIL S.A.;1;1;372484;372484;0;0;0;0;0;449076;0;0;449076;;0;24213794;11840173;327191;10204917;0;0;0;0;0;0;1841513;0;0;0;0;0;5946;0;6201183;31242483;2889947;4080382;2637909;0;2637909;0;12027928;0;0;12027928;0;0;0;0;6329;6329;0;1217532;0;2181273;2823706;-642433;6201183;31242483;1200302
201912;AC;15978;FEIJO;00360305;CAIXA ECONOMICA FEDERAL;1;1;1675799;1675799;0;0;0;0;0;-15207462;126819;0;0;;-15334282;28719406;16023279;135016;0;0;0;0;0;13897285;155981;0;-16;-1492138;0;0;0;683029;0;53405931;69276703;1137756;10487683;1053134;0;1053134;0;32887;80;0;32807;0;0;0;0;9904;9904;0;484409;0;2665000;3413478;-748478;53405931;69276703;1200302
201912;AC;15978;FEIJO;04902979;BCO DA AMAZONIA S.A.;1;1;560648;560648;0;0;0;0;0;5504591;0;0;5504591;;0;2987444;2917766;0;0;0;0;0;0;0;0;69677;0;0;0;0;0;0;0;58277423;67330106;3246985;4929243;309794;0;309794;0;0;0;0;0;0;0;0;0;903;903;0;21711;0;544047;818725;-274678;58277423;67330106;1200302
201912;AC;18690;XAPURI;00000000;BCO DO BRASIL S.A.;1;1;1295971;1295971;0;0;0;0;51051;2490696;0;0;2490696;;0;47968705;13938074;592809;30965118;0;0;0;0;0;0;2472703;0;0;0;0;0;8025;0;11361909;63176357;4841429;11477572;3889276;0;3889276;0;27650042;0;0;27650042;0;0;0;0;4362;4362;0;1363337;0;2588430;3509709;-921279;11361909;63176357;1200708
201912;AC;18690;XAPURI;04902979;BCO DA AMAZONIA S.A.;1;1;177015;177015;0;0;0;0;0;8257023;0;0;8257023;;0;1548437;1499637;0;3026;0;0;0;0;0;0;45774;0;0;0;0;0;0;0;74610270;84592744;5322782;4318077;133836;0;133836;0;0;0;0;0;0;0;0;0;535;535;0;90698;0;116545;396593;-280048;74610270;84592744;1200708
201912;AC;27478;TARAUACA;00000000;BCO DO BRASIL S.A.;1;1;2341594;2341594;0;0;0;0;0;4328469;0;0;4328469;;0;76410759;42301829;1622780;26096949;0;0;0;0;1768509;0;4620692;0;0;0;0;0;8661;0;30354994;113444477;5146217;10779844;1914158;0;1914158;0;56609473;0;0;56609473;0;0;0;0;7886;7886;0;3019870;0;5612036;7756270;-2144233;30354994;113444477;1200609
201912;AC;27478;TARAUACA;00360305;CAIXA ECONOMICA FEDERAL;1;1;1864676;1864676;0;0;0;0;0;-26550425;0;0;1100000;;-27650425;51529039;34274847;121228;75420;0;0;0;0;19078449;1274729;0;-97;-3295537;0;0;0;857471;0;104195280;131896041;3042423;16190545;1918992;0;1918992;0;70174;1180;0;68994;0;0;0;0;25893;25893;0;1583440;0;4869294;7416805;-2547511;104195280;131896041;1200609
201912;AC;27478;TARAUACA;04902979;BCO DA AMAZONIA S.A.;1;1;179448;179448;0;0;0;0;0;6655806;0;0;6655806;;0;1877106;1797861;0;0;0;0;0;0;0;0;79245;0;0;0;0;0;0;0;54730091;63442451;1788675;6629084;5650;0;5650;0;9228;0;0;9228;0;0;0;0;31802;31802;0;27817;0;220104;506706;-286602;54730091;63442451;1200609
201912;AC;29074;SENA MADUREIRA;00000000;BCO DO BRASIL S.A.;1;1;1056426;1056426;0;0;0;0;0;2648044;2630;0;2645414;;0;122942308;33777897;1841215;81315531;0;0;0;0;1216080;104612;4686974;0;0;0;0;0;15177;0;28204729;154866684;10989661;16444163;17187354;0;17187354;0;71849144;0;0;71849144;0;0;0;2;13980;13979;0;3052423;0;7125228;8663113;-1537885;28204729;154866684;1200500
201912;AC;29074;SENA MADUREIRA;00360305;CAIXA ECONOMICA FEDERAL;1;1;1103580;1103580;0;0;0;0;0;-19494065;204447;0;0;;-19698513;47161877;20334829;238008;0;0;0;0;0;28514353;297170;0;-826;-2221656;0;0;0;6266387;0;255928496;290966275;2980705;25346050;2771784;0;2771784;0;112558;580;0;111978;0;0;0;0;10776;10776;0;695093;0;3120812;5932829;-2812017;255928496;290966275;1200500
