#DATA_BASE;UF;CODMUN;MUNICIPIO;CNPJ;NOME_INSTITUICAO;AGEN_ESPERADAS;AGEN_PROCESSADAS;VERBETE_110_ENCAIXE;VERBETE_111_CAIXA;VERBETE_112_DEPOSITOS_BANCARIOS;VERBETE_113_BACEN_RESERV_BANC_EM_ESPECIE;VERBETE_114_APLIC_TEMPORARIAS_EM_OURO;VERBETE_120_APLIC_INTERFINANC_DE_LIQUIDEZ;VERBETE_130_TIT_E_VAL_MOB_E_INST_FIN_DERIV;VERBETE_140_REL_INTERFINANC_E_INTERDEPEND;VERBETE_141_CORRESPONDENTES_NO_EXTERIOR + VERBETE_142_CORRESPONDENTES_NO_PAIS;VERBETE_143_DEPEND_MATRIZ_E_CONGENERES_NO_EXTERIOR_EM;"VERBETE_144_COBRANCA_EM_TRANSITO + VERBETE_145_ORDENS_DE_PAGAMENTO	+ VERBETE_146_VAL_LIGADAS_E_TERC_EM_TRANSITO + VERBETE_147_DEPENDENCIAS_NO_PAIS	+ VERBETE_152_SUPRIMENTOS_INTERDEPENDENCIAS";VERBETE_153_RELACOES_COM_A_CARTEIRA_DE_CAMBIO_E_DE_DESENVOL;VERBETE_158_OUTR_REL_INTERF_E_INTERDEPEND;VERBETE_160_OPERACOES_DE_CREDITO;VERBETE_161_EMPRES_E_TIT_DESCONTADOS;VERBETE_162_FINANCIAMENTOS;VERBETE_163_FIN_RURAIS_AGRICUL_CUST/INVEST;VERBETE_164_FIN_RURAIS_PECUAR_CUST/INVEST;VERBETE_165_FIN_RURAIS_AGRICUL_COMERCIALIZ;VERBETE_166_FIN_RURAIS_PECUARIA_COMERCIALIZ;VERBETE_167_FINANCIAMENTOS_AGROINDUSTRIAIS+VERBETE_168_RENDAS_A_APROPRIAR_FINANC_RURAIS_AGROINDUSTRIAIS;VERBETE_169_FINANCIAMENTOS_IMOBILIARIOS;VERBETE_171_OUTRAS_OPERACOES_DE_CREDITO;VERBETE_172_OUTROS_CREDITOS;VERBETE_173_CREDITOS_EM_LIQUIDACAO;VERBETE_174_PROV_P/_OPER_CREDITOS;VERBETE_176_OPERACOES_ESPECIAIS;VERBETE_180_ARRENDAMENTO_MERCANTIL;VERBETE_184_PROV_P/OPER_ARR_MERCANTIL;VERBETE_190_OUTROS_VALORES_E_BENS;VERBETE_200_PERMANENTE;VERBETE_300_CONTAS_DE_COMPENSACAO;VERBETE_399_TOTAL_DO_ATIVO;VERBETE_401_SERVICOS_PUBLICOS + VERBETE_402_ATIVIDADES_EMPRESARIAIS + VERBETE_403_ESPECIAIS_DO_TESOURO_NACIONAL + VERBETE_404_SALDOS_CREDORES_EM_CONTAS_DE_EMPRESTIMOS_E_FINAN + VERBETE_411_DE_PESSOAS_FISICAS + VERBETE_412_DE_PESSOAS_JURIDICAS + VERBETE_413_DE_INSTITUICOES_FINANCEIRAS + VERBETE_414_JUDICIAIS + VERBETE_415_OBRIGATORIOS + VERBETE_416_PARA_INVESTIMENTOS + VERBETE_417_VINCULADOS + VERBETE_418_DEMAIS_DEPOSITOS + VERBETE_419_SLD_CRED_CTAS_EMPR_FINANC_OUTR;VERBETE_420_DEPOSITOS_DE_POUPANCA;VERBETE_430_DEPOSITOS_INTERIFNANCEIROS;VERBETE_431_DEPOSITOS_INTERFINANCEIROS;VERBETE_432_DEPOSITOS_A_PRAZO;VERBETE_433_CAPTACEOS_NO_MERCADO_ABERTO;VERBETE_440_REL_INTERFINANC_E_INTERDEPEND;VERBETE_441_CORRESPONDENTES_NO_EXTERIOR + VERBETE_442_CORRESPONDENTES_NO_PAIS;VERBETE_443_DEPENDENCIAS_MATRIZ_E_CONGENERES_NO_EXTERIOR;VERBETE_444_COBRANCA_EM_TRANSITO + VERBETE_445_ORDENS_DE_PAGAMENTO + VERBETE_446_VAL_DE_LIG_E_TERC_EM_TRANSITO + VERBETE_447_DEPENDENCIAS_NO_PAIS + VERBETE_456_SUPRIM_INTERDEPARTAMENTAIS + VERBETE_458_OUTR_REL_INTERFIN_INTERDEPEND;VERBETE_457_RELACOES_COM_A_CARTEIRA_DE_CAMBIO_E_DE_DESENVOLV;VERBETE_460_OBRIG_POR_EMP_E_REPASSES;VERBETE_461_BANCO_CENTRAL_ASSISTENCIA_FINANCEIRA + VERBETE_462_REDESCONTO + VERBETE_463_REFINANCIAMENTOS + VERBETE_467_OPERACOES_ESPECIAIS + VERBETE_468_OUTR_OBRIG_POR_EMPR_E_REPASSES;VERBETE_470_INST_FINANCEIROS_DERIVATIVOS;VERBETE_480_OBRIGACOES_POR_RECEBIMENTO;VERBETE_481_IOF + VERBETE_482_CONTRIBUICOES_PREVIDENCIARIAS + VERBETE_483_TRIBUTOS_ESTAD_E_MUNICIPAIS + VERBETE_484_TRIBUTOS_FEDERAIS + VERBETE_485_FGTS + VERBETE_487_DEMAIS_RECEBIMENTOS;VERBETE_486_PIS/PASEP;VERBETE_490_CHEQUES_ADMINISTRATIVOS + VERBETE_500_OUTRAS_OBRIGACOES;VERBETE_610_PATRIMONIO_LIQUIDO;VERBETE_710_CONTAS_DE_RESULTADO;VERBETE_711_CONTAS_CREDORAS;VERBETE_712_CONTAS_DEVEDORAS;VERBETE_800_CONTAS_DE_COMPENSACAO;VERBETE_899_TOTAL_DO_PASSIVO;CODMUN_IBGE
201801;AC;1030;MANCIO LIMA;00000000;BCO DO BRASIL S.A.;1;1;983157;983157;0;0;0;0;0;24217;0;0;24217;;0;25013646;19569004;1273261;2232953;0;0;0;63099;120870;0;1754460;0;0;0;0;0;6589;0;5042628;31070238;1455450;5731921;169174;0;169174;0;16799374;0;0;16799374;0;0;0;0;303322;303321;0;1024905;0;543463;652123;-108661;5042628;31070238;1200336
201801;AC;5184;MANOEL URBANO;00360305;CAIXA ECONOMICA FEDERAL;1;1;329393;329393;0;0;0;0;0;-6261222;50096;0;46658;;-6357975;13165527;8026122;76140;0;0;0;0;0;6472915;132418;0;0;-1542068;0;0;0;0;0;24867318;32101017;913497;5055919;936340;0;936340;0;32882;1540;0;31342;0;0;0;0;19281;19280;0;49901;0;225879;309008;-83129;24867318;32101017;1200344
201801;AC;9465;ASSIS BRASIL;00360305;CAIXA ECONOMICA FEDERAL;1;1;265117;265117;0;0;0;0;0;-4133135;28201;0;4300;;-4165637;7221340;7066632;581926;0;0;0;0;0;875445;0;0;0;-1302662;0;0;0;0;0;16348416;19701737;476422;2267823;269953;0;269953;0;8008;0;0;8008;0;0;0;0;5006;5006;0;150831;0;175280;235973;-60693;16348416;19701737;1200054
201801;AC;15978;FEIJO;00000000;BCO DO BRASIL S.A.;1;1;347782;347782;0;0;0;0;0;7147;0;0;7147;;0;19144369;8271013;456685;8996996;0;0;0;20331;0;0;1399344;0;0;0;0;0;6008;0;3856272;23361578;1881773;3362959;920797;0;920797;0;12115016;0;0;12115016;0;0;0;0;157540;157541;0;831586;0;235634;381443;-145810;3856272;23361578;1200302
201801;AC;15978;FEIJO;00360305;CAIXA ECONOMICA FEDERAL;1;1;1095810;1095810;0;0;0;0;0;-16930184;106194;0;1000;;-17037378;25937521;14138569;521282;0;0;0;0;0;13761968;169300;0;0;-2653598;0;0;0;864507;0;44528467;55496122;1035323;5819017;2238873;0;2238873;0;26364;340;0;26024;0;0;0;0;16485;16485;0;319747;0;1511844;516222;995622;44528467;55496122;1200302
201801;AC;15978;FEIJO;04902979;BCO DA AMAZONIA S.A.;1;1;308500;308500;0;0;0;0;0;2603126;0;0;2603126;;0;3899645;3865456;0;0;0;0;0;0;0;0;34189;0;0;0;0;0;0;0;57493859;64305130;2388700;3981188;280039;0;280039;0;49041;0;0;49041;0;0;0;0;705;705;0;4560;0;107038;154829;-47791;57493859;64305130;1200302
201801;AC;18690;XAPURI;00000000;BCO DO BRASIL S.A.;1;1;1479752;1479752;0;0;0;0;0;161283;0;0;161283;;0;44546725;13674758;589289;28614756;0;0;0;1;0;0;1667922;0;0;0;0;0;7326;0;6641091;52836177;2738772;7546121;2272960;0;2272960;0;32201175;0;0;32201175;0;0;0;0;22720;22720;0;974807;0;438530;552197;-113667;6641091;52836177;1200708
201801;AC;18690;XAPURI;04902979;BCO DA AMAZONIA S.A.;1;1;253001;253001;0;0;0;0;0;4239575;0;0;4239395;;180;1981106;1937849;0;3026;0;0;0;0;0;0;40232;0;0;0;0;0;0;0;73823064;80296746;2639558;3335815;373389;0;373389;0;51923;0;0;51923;0;0;0;0;1129;1129;0;22225;0;49643;85180;-35537;73823064;80296746;1200708
201801;AC;27478;TARAUACA;00000000;BCO DO BRASIL S.A.;1;1;3603189;3603189;0;0;0;0;0;207605;0;0;207605;;0;64829733;37141668;2876812;20220812;0;0;0;76012;925157;0;3589272;0;0;0;0;0;9225;0;17647887;86297639;3403563;7433640;2102972;0;2102972;0;52430196;0;0;52430196;0;0;0;0;247557;247558;0;2135308;0;896518;1141070;-244552;17647887;86297639;1200609
201801;AC;27478;TARAUACA;00360305;CAIXA ECONOMICA FEDERAL;1;1;1094317;1094317;0;0;0;0;0;-28183542;103599;0;0;;-28287141;48719517;29049007;933754;253613;0;0;0;0;21062647;1433709;0;0;-4013212;0;0;0;1055471;0;95256417;117942181;1814161;12533674;2888029;0;2888029;0;37232;3050;0;34183;0;0;0;0;24006;24006;0;4972631;0;416030;1098509;-682480;95256417;117942181;1200609
201801;AC;27478;TARAUACA;04902979;BCO DA AMAZONIA S.A.;1;1;148835;148835;0;0;0;0;0;5077492;0;0;5077492;;0;1996442;1988136;0;0;0;0;0;0;0;0;8305;0;0;0;0;0;0;0;47474017;54696785;1223497;5878462;2314;0;2314;0;56111;0;0;56111;0;0;0;0;32032;32032;0;1123;0;29230;86123;-56893;47474017;54696785;1200609
201801;AC;29074;SENA MADUREIRA;00000000;BCO DO BRASIL S.A.;1;1;1977504;1977504;0;0;0;0;0;296928;0;0;296928;;0;75002009;24920465;2011596;43540624;0;0;0;13569;736247;117684;3661825;0;0;0;0;0;10543;0;18975067;96262050;6680140;11052352;15275002;0;15275002;0;40835473;0;0;40835473;0;0;0;2;338975;338974;0;2239899;0;865142;1092869;-227727;18975067;96262050;1200500
201801;AC;29074;SENA MADUREIRA;00360305;CAIXA ECONOMICA FEDERAL;1;1;1274342;1274342;0;0;0;0;0;-27947219;152423;0;0;;-28099642;49068758;22628399;1005928;1082304;0;0;0;0;30377995;325666;0;0;-6351534;0;0;0;3992989;0;253478078;279866948;2144808;17023449;5783180;0;5783180;0;50965;3670;0;47295;0;0;0;0;27201;27201;0;1106591;0;252676;972158;-719482;253478078;279866948;1200500
201801;AC;29074;SENA MADUREIRA;04902979;BCO DA AMAZONIA S.A.;1;1;157625;157625;0;0;0;0;0;9058998;0;0;9058998;;0;1481597;1449558;0;11094;0;0;0;0;0;0;20944;0;0;0;0;0;0;0;107861446;118559666;2624680;7925588;66917;0;66917;0;63257;0;0;63257;0;0;0;0;816;816;0;22280;0;-5317;77102;-82419;107861446;118559666;1200500
201801;AC;29988;PLACIDO DE CASTRO;00000000;BCO DO BRASIL S.A.;1;1;792033;792033;0;0;0;0;0;14376;0;0;14376;;0;41374859;11850915;482209;27590419;0;0;0;0;80258;0;1371057;0;0;0;0;0;6008;0;9140501;51327777;1412878;5245803;842874;0;842874;0;33380925;0;0;33380925;0;0;0;0;91538;91537;0;757814;0;455442;541129;-85687;9140501;51327777;1200385
201801;AC;29988;PLACIDO DE CASTRO;04902979;BCO DA AMAZONIA S.A.;1;1;218316;218316;0;0;0;0;0;114060;0;0;114060;;0;658715;625258;0;0;0;0;0;0;0;0;33458;0;0;0;0;0;0;0;61899951;62891042;603933;409482;394;0;394;0;5424;0;0;5424;0;0;0;0;357;356;0;6989;0;-35487;35106;-70592;61899951;62891042;1200385
201801;AC;33730;SENADOR GUIOMARD;00000000;BCO DO BRASIL S.A.;1;1;983615;983615;0;0;0;0;0;18409;0;0;18343;;66;67084266;14103061;839042;49510954;0;0;0;0;150846;0;2480362;0;0;0;0;0;9225;0;14458297;82553812;5165168;8422576;105043;0;105043;0;52208712;0;0;52208712;0;0;0;0;245485;245484;0;1345488;0;603043;723473;-120429;14458297;82553812;1200450
201801;AC;33730;SENADOR GUIOMARD;00360305;CAIXA ECONOMICA FEDERAL;1;1;1212609;1212609;0;0;0;0;0;-12339228;160750;0;2818;;-12502797;25648203;14943317;792442;135337;0;0;0;0;11967482;114932;0;0;-2305308;0;0;0;1149045;0;54721916;70392545;1454169;8271239;4731310;0;4731310;0;42939;5490;0;37449;0;0;0;0;14248;14248;0;879763;0;276964;664882;-387918;54721916;70392545;1200450
201801;AC;35680;CRUZEIRO DO SUL;00000000;BCO DO BRASIL S.A.;2;2;7077138;7077138;0;0;0;0;0;1583938;0;0;1583938;;0;124978108;95640398;7824690;2347631;0;0;0;219752;2317108;45786;16582742;0;0;0;0;0;37480;850000;53191049;187717712;20231695;42380897;6339861;0;6339861;0;45574736;0;0;45574736;0;0;0;0;6153923;6153924;0;10029101;0;3816449;4623394;-806945;53191049;187717712;1200203
201801;AC;35680;CRUZEIRO DO SUL;00360305;CAIXA ECONOMICA FEDERAL;1;1;4772427;4772427;0;0;0;0;0;-44766434;462847;0;0;;-45229281;115203237;74131902;4187205;998224;0;0;0;0;42837014;1312813;0;0;-8263921;0;0;0;7521253;0;314040514;396770996;5427219;60557238;11758968;0;11758968;0;226636;6390;0;220246;0;0;0;0;143605;143604;0;3034139;0;1582678;2550502;-967823;314040514;396770996;1200203
201801;AC;35680;CRUZEIRO DO SUL;04902979;BCO DA AMAZONIA S.A.;1;1;541936;541936;0;0;0;0;0;7386623;0;0;7386623;;0;3319149;3316311;0;2835;0;0;0;0;0;0;3;0;0;0;0;0;0;0;126168989;137416697;3634692;7418017;50503;0;50503;0;42625;0;0;42625;0;0;0;0;2386;2386;0;28417;0;71069;146781;-75712;126168989;137416697;1200203
201801;AC;35680;CRUZEIRO DO SUL;60746948;BCO BRADESCO S.A.;1;1;2863255;2863255;0;0;0;0;0;32246194;0;0;32246194;;0;1947321;1832725;0;0;0;0;0;0;0;0;114596;0;0;0;0;0;0;0;32066020;69122790;2869116;15810864;17912211;0;17912211;0;853;0;0;853;0;0;0;0;0;0;0;51681;0;412044;557687;-145643;32066020;69122790;1200203
201801;AC;35697;BRASILEIA;00000000;BCO DO BRASIL S.A.;1;1;2048290;2048290;0;0;0;0;0;166938;0;0;166769;;168;59367915;20193051;1022670;35733756;0;0;0;45336;0;0;2373102;0;0;0;0;0;15233;0;9443575;71041951;3339107;7984212;339970;0;339970;0;47986929;0;0;47986929;0;0;0;0;124050;124049;0;1240722;0;583387;759899;-176513;9443575;71041951;1200104
201801;AC;35697;BRASILEIA;00360305;CAIXA ECONOMICA FEDERAL;1;1;943626;943626;0;0;0;0;0;-10166819;171882;0;0;;-10338702;29577062;24341961;700925;0;0;0;0;0;11153039;188922;0;0;-6807786;0;0;0;858998;0;80562222;101775088;1881477;9554082;8931127;0;8931127;0;40596;1250;0;39346;0;0;0;0;60646;60646;0;234615;0;510323;816812;-306488;80562222;101775088;1200104
201801;AC;35697;BRASILEIA;04902979;BCO DA AMAZONIA S.A.;1;1;442362;442362;0;0;0;0;0;4624462;0;0;4624462;;0;2444526;2312815;0;10132;0;0;0;0;0;0;121579;0;0;0;0;0;0;0;126662584;134173933;2704256;4643223;58994;0;58994;0;16872;0;0;16872;0;0;0;0;2681;2681;0;46498;0;38825;89499;-50674;126662584;134173933;1200104
201801;AC;35697;BRASILEIA;60746948;BCO BRADESCO S.A.;1;1;1969985;1969985;0;0;0;0;0;8062784;0;0;8062784;;0;336716;314143;0;0;0;0;0;0;0;0;22573;0;0;0;0;0;0;0;3414997;13784483;842693;1663235;1218710;0;1218710;0;6568692;0;0;6568692;0;0;0;0;0;0;0;2822;0;73335;111830;-38495;3414997;13784483;1200104
201801;AC;38955;RIO BRANCO;00000000;BCO DO BRASIL S.A.;10;10;20306248;19961833;344415;0;0;0;0;73026263;0;0;73026263;;0;1214800185;664923240;116365514;222270942;0;0;0;531144;59618539;597110;150493696;0;0;0;0;0;267512;60571309;1255263630;2624235147;214642630;315294688;150634469;0;150634469;0;582548323;0;0;582548323;0;262623;262623;264;18915913;18915911;0;68565925;0;18106684;24378402;-6271719;1255263630;2624235147;1200401
201801;AC;38955;RIO BRANCO;00360305;CAIXA ECONOMICA FEDERAL;4;4;7861627;7861627;0;0;0;0;0;170856542;986073;0;1084;;169869385;1292646033;354012560;15992729;5411121;0;0;0;0;673794404;13035663;295581199;0;-65181643;0;0;0;6520254;0;3289979005;4767863462;62060761;317345939;992412297;0;992412297;0;1519755;157020;0;1362735;0;0;0;0;1995372;1995372;0;96134489;0;6415844;15996204;-9580360;3289979005;4767863462;1200401
201801;AC;38955;RIO BRANCO;04902979;BCO DA AMAZONIA S.A.;2;2;1082349;1082349;0;0;0;0;0;8628340;0;0;8624535;;3805;13261415;9173831;3840341;5102;0;0;0;0;0;0;242141;0;0;0;0;0;0;0;779614104;802586207;11912337;9077828;1109241;0;1109241;0;278486;0;0;278486;0;0;0;0;14445;14444;0;232092;0;347675;521683;-174008;779614104;802586207;1200401
201801;AC;38955;RIO BRANCO;60701190;ITAÚ UNIBANCO S.A.;3;3;1750018;1750018;0;0;0;0;0;36674641;0;0;36674641;;0;23953274;21160206;3069743;0;0;0;0;0;0;0;0;0;-276675;0;0;0;0;0;41299523;103677455;1385306;39871775;19733322;0;19733322;0;284107;0;0;284107;0;0;0;0;-17;-17;0;92993;0;1010446;1482661;-472215;41299523;103677455;1200401
201801;AC;38955;RIO BRANCO;60746948;BCO BRADESCO S.A.;4;4;7973610;7973610;0;0;0;0;0;152899708;297;0;152899411;;0;14199334;12638172;0;1383210;0;0;0;0;0;0;177952;0;0;0;0;0;0;0;110270813;285343465;15222870;52233185;86915032;0;86915032;0;3256211;297;0;3255914;0;0;0;0;0;0;0;16054213;0;1391141;1716214;-325073;110270813;285343465;1200401
201801;AC;38955;RIO BRANCO;90400888;BCO SANTANDER (BRASIL) S.A.;2;2;1977386;1977386;0;0;0;0;0;0;0;0;0;;0;72485406;68803314;6734607;0;0;0;0;0;0;0;4198432;0;-7250947;0;0;0;0;0;198235269;272698060;3893048;9266167;27972546;0;27972546;0;29615490;0;0;29615490;0;0;0;0;15025;15025;0;2214404;0;1486111;2393027;-906916;198235269;272698060;1200401
201801;AC;50830;ACRELANDIA;00000000;BCO DO BRASIL S.A.;1;1;1209923;1209923;0;0;0;0;0;37296;0;0;37296;;0;68037405;10488210;618992;55637085;0;0;0;0;134861;0;1158258;0;0;0;0;0;8644;0;8832492;78125760;3382532;8626663;591018;0;591018;0;55538261;0;0;55538261;0;0;0;0;32930;32930;0;625036;0;496827;597207;-100380;8832492;78125760;1200013
201801;AC;50847;PORTO ACRE;00360305;CAIXA ECONOMICA FEDERAL;1;1;372363;372363;0;0;0;0;0;-5773590;0;0;0;;-5773590;14386120;8888442;352361;0;0;0;0;0;6498938;257657;0;0;-1611278;0;0;0;0;0;29687153;38672046;757515;5283734;997632;0;997632;0;19678;1280;0;18398;0;0;0;0;7918;7918;0;1705737;0;212680;306075;-93395;29687153;38672046;1200807
201801;AC;50919;BUJARI;00360305;CAIXA ECONOMICA FEDERAL;1;1;195263;195263;0;0;0;0;0;-17646021;19200;0;0;;-17665221;23364468;11278204;187350;78716;0;0;0;0;13187131;196551;0;0;-1563484;0;0;0;47448;0;35621490;41582647;438197;4628559;286124;0;286124;0;32552;2510;0;30042;0;0;0;0;6104;6104;0;223847;0;345775;401074;-55298;35621490;41582647;1200138
