#DATA_BASE;UF;CODMUN;MUNICIPIO;CNPJ;NOME_INSTITUICAO;AGEN_ESPERADAS;AGEN_PROCESSADAS;VERBETE_110_DISPONIBILIDADES;VERBETE_111_CAIXA;VERBETE_112_DEPOSITOS_BANCARIOS;VERBETE_113_BACEN_RESERV_BANC_EM_ESPECIE;VERBETE_120_APLIC_INTERFINANC_DE_LIQUIDEZ;VERBETE_130_TIT_E_VAL_MOB_E_INST_FIN_DERIV;VERBETE_140_REL_INTERFINANC_E_INTERDEPEND;VERBETE_141_CORRESPONDENTES_NO_EXTERIOR + VERBETE_142_CORRESPONDENTES_NO_PAIS;"VERBETE_144_COBRANCA_EM_TRANSITO + VERBETE_145_ORDENS_DE_PAGAMENTO	+ VERBETE_146_VAL_LIGADAS_E_TERC_EM_TRANSITO + VERBETE_147_DEPENDENCIAS_NO_PAIS	+ VERBETE_152_SUPRIMENTOS_INTERDEPENDENCIAS";VERBETE_158_OUTR_REL_INTERF_E_INTERDEPEND;VERBETE_160_OPERACOES_DE_CREDITO;VERBETE_161_EMPRES_E_TIT_DESCONTADOS;VERBETE_162_FINANCIAMENTOS;VERBETE_163_FIN_RURAIS_AGRICUL_CUST/INVEST;VERBETE_167_FINANCIAMENTOS_AGROINDUSTRIAIS;VERBETE_169_FINANCIAMENTOS_IMOBILIARIOS;VERBETE_171_OUTRAS_OPERACOES_DE_CREDITO;VERBETE_172_OUTROS_CREDITOS;VERBETE_174_PROV_P/_OPER_CREDITOS;VERBETE_176_OPERACOES_ESPECIAIS;VERBETE_180_ARRENDAMENTO_MERCANTIL;VERBETE_184_PROV_P/OPER_ARR_MERCANTIL;VERBETE_190_OUTROS_VALORES_E_BENS;VERBETE_200_PERMANENTE;VERBETE_399_TOTAL_DO_ATIVO;VERBETE_401_SERVICOS_PUBLICOS + VERBETE_402_ATIVIDADES_EMPRESARIAIS + VERBETE_403_ESPECIAIS_DO_TESOURO_NACIONAL + VERBETE_404_SALDOS_CREDORES_EM_CONTAS_DE_EMPRESTIMOS_E_FINAN + VERBETE_411_DE_PESSOAS_FISICAS + VERBETE_412_DE_PESSOAS_JURIDICAS + VERBETE_413_DE_INSTITUICOES_FINANCEIRAS + VERBETE_414_JUDICIAIS + VERBETE_415_OBRIGATORIOS + VERBETE_416_PARA_INVESTIMENTOS + VERBETE_417_VINCULADOS + VERBETE_418_DEMAIS_DEPOSITOS + VERBETE_419_SLD_CRED_CTAS_EMPR_FINANC_OUTR;VERBETE_420_DEPOSITOS_DE_POUPANCA;VERBETE_430_DEPOSITOS_INTERIFNANCEIROS;VERBETE_431_DEPOSITOS_INTERFINANCEIROS;VERBETE_432_DEPOSITOS_A_PRAZO;VERBETE_433_CAPTACEOS_NO_MERCADO_ABERTO;VERBETE_440_REL_INTERFINANC_E_INTERDEPEND;VERBETE_441_CORRESPONDENTES_NO_EXTERIOR + VERBETE_442_CORRESPONDENTES_NO_PAIS;VERBETE_444_COBRANCA_EM_TRANSITO + VERBETE_445_ORDENS_DE_PAGAMENTO + VERBETE_446_VAL_DE_LIG_E_TERC_EM_TRANSITO + VERBETE_447_DEPENDENCIAS_NO_PAIS + VERBETE_456_SUPRIM_INTERDEPARTAMENTAIS + VERBETE_458_OUTR_REL_INTERFIN_INTERDEPEND;VERBETE_460_OBRIG_POR_EMP_E_REPASSES;VERBETE_461_BANCO_CENTRAL_ASSISTENCIA_FINANCEIRA + VERBETE_467_OPERACOES_ESPECIAIS + VERBETE_468_OUTR_OBRIG_POR_EMPR_E_REPASSES;VERBETE_470_INST_FINANCEIROS_DERIVATIVOS;VERBETE_480_OBRIGACOES_POR_RECEBIMENTO;VERBETE_481_IOF + VERBETE_482_CONTRIBUICOES_PREVIDENCIARIAS + VERBETE_483_TRIBUTOS_ESTAD_E_MUNICIPAIS + VERBETE_484_TRIBUTOS_FEDERAIS + VERBETE_485_FGTS + VERBETE_487_DEMAIS_RECEBIMENTOS;VERBETE_490_CHEQUES_ADMINISTRATIVOS + VERBETE_500_OUTRAS_OBRIGACOES;VERBETE_610_PATRIMONIO_LIQUIDO;VERBETE_710_CONTAS_DE_RESULTADO;VERBETE_711_CONTAS_CREDORAS;VERBETE_712_CONTAS_DEVEDORAS;VERBETE_899_TOTAL_DO_PASSIVO;CODMUN_IBGE
202503;AC;5184;MANOEL URBANO;00360305;CAIXA ECONOMICA FEDERAL;1;1;489617;489617;0;0;0;0;-8376458;0;0;-8376458;28861340;20555679;191524;3927495;0;3960709;0;225932;0;0;0;0;0;0;20974499;3305341;13979047;807553;0;807553;0;79365;170;79195;0;0;0;16048;16048;1942261;0;807051;1393848;-586797;20936665;1200344
202503;AC;9465;ASSIS BRASIL;00360305;CAIXA ECONOMICA FEDERAL;1;1;664981;664981;0;0;0;0;-5870485;192350;0;-6062834;17782688;14608856;2409;405984;0;2765440;0;0;0;0;0;0;0;0;12577185;1638354;7352177;1354677;0;1354677;0;24886;0;24886;0;0;0;9457;9458;1673877;0;493801;826345;-332545;12547228;1200054
202503;AC;15978;FEIJO;00360305;CAIXA ECONOMICA FEDERAL;1;1;1715223;1715223;0;0;0;0;-33547204;301271;0;-33848475;70749794;45088027;0;398872;0;25023916;0;238979;0;0;0;0;0;0;38917812;2593693;23074203;2298990;0;2298990;0;75450;2620;72830;0;0;0;38423;38423;8417118;0;2228619;3048254;-819635;38726497;1200302
202503;AC;15978;FEIJO;04902979;BCO DA AMAZONIA S.A.;1;1;548534;548534;0;0;0;0;0;0;0;0;15363772;5375503;2290382;7682732;0;0;0;15154;0;0;0;0;0;0;15912306;6323770;7369552;563678;0;563678;0;1193572;0;1193572;0;0;0;15739;15739;67980;0;378014;537903;-159889;15912306;1200302
202503;AC;18690;XAPURI;04902979;BCO DA AMAZONIA S.A.;1;1;287726;287726;0;0;0;0;6182;0;0;6182;59947022;6691496;8662554;44584926;0;0;0;8046;0;0;0;0;0;0;60240930;5592840;6764234;263246;0;263246;0;46301930;0;46301929;0;0;0;3194;3194;11310;0;1304176;1434753;-130577;60240930;1200708
202503;AC;27478;TARAUACA;00000000;BCO DO BRASIL S.A.;1;1;4189621;4189621;0;0;0;0;33040470;47353;32991012;2106;331107862;121299179;5998992;183164729;0;2228793;0;18722112;-305943;0;0;0;20724;0;368358678;18546009;34893706;9523535;0;9523535;0;290987835;0;290987834;0;0;0;197725;197725;1943701;0;12266167;14248324;-1982157;368358678;1200609
202503;AC;27478;TARAUACA;00360305;CAIXA ECONOMICA FEDERAL;1;1;1720736;1720736;0;0;0;0;-52824315;2188;0;-52826503;105380555;71702243;0;1608044;0;32070268;0;0;0;0;0;0;0;0;54276977;4295622;29443129;6205954;0;6205954;0;150838;1070;149768;0;0;0;29812;29811;8925618;0;3574613;4520949;-946336;52625586;1200609
202503;AC;27478;TARAUACA;04902979;BCO DA AMAZONIA S.A.;1;1;371200;371200;0;0;0;0;358;0;0;358;44747858;7383448;3527773;33754715;0;0;0;81923;0;0;0;0;0;0;45119416;6680271;8303170;194575;0;194575;0;28884287;0;28884287;0;0;0;18624;18624;16079;0;1022411;1216163;-193752;45119416;1200609
202503;AC;29074;SENA MADUREIRA;00000000;BCO DO BRASIL S.A.;1;1;2641866;2641866;0;0;0;0;21392297;11106;21381191;0;229065732;62414497;796492;154491694;0;1201640;0;10171585;-10175;0;0;0;15879;0;253115773;11952202;23148528;21499585;0;21499585;0;187443611;0;187443610;0;0;3;122524;122525;1076168;0;7873153;9121281;-1248129;253115773;1200500
202503;AC;29074;SENA MADUREIRA;00360305;CAIXA ECONOMICA FEDERAL;1;1;2528955;2528955;0;0;0;0;-31756057;269233;0;-32025290;103519479;38146975;367297;31511317;0;33201584;0;292305;0;0;0;0;1443126;0;75735503;6106970;49346426;4488315;0;4488315;0;157672;900;156772;0;0;0;37382;37382;14011726;0;1277003;3748430;-2471427;75425494;1200500
202503;AC;29074;SENA MADUREIRA;04902979;BCO DA AMAZONIA S.A.;1;1;321730;321730;0;0;0;0;0;0;0;0;35896590;11150753;4556257;20031922;0;0;0;157658;0;0;0;0;0;0;36218319;6916776;12940251;65227;0;65227;0;15458257;0;15458258;0;0;0;6346;6346;44299;0;787164;1078572;-291409;36218319;1200500
202503;AC;29988;PLACIDO DE CASTRO;00000000;BCO DO BRASIL S.A.;1;1;1008161;1008161;0;0;0;0;12323369;24837;12298532;0;129980835;36723910;517337;87091131;0;734239;0;4923846;-9628;0;0;0;9925;0;143322289;6135477;11319127;6282647;0;6282647;0;113574599;0;113574599;0;0;0;67183;67183;1289206;0;4654050;5145264;-491214;143322289;1200385
