#DATA_BASE;UF;CODMUN;MUNICIPIO;CNPJ;NOME_INSTITUICAO;AGEN_ESPERADAS;AGEN_PROCESSADAS;VERBETE_110_DISPONIBILIDADES;VERBETE_111_CAIXA;VERBETE_112_DEPOSITOS_BANCARIOS;VERBETE_113_BACEN_RESERV_BANC_EM_ESPECIE;VERBETE_120_APLIC_INTERFINANC_DE_LIQUIDEZ;VERBETE_130_TIT_E_VAL_MOB_E_INST_FIN_DERIV;VERBETE_140_REL_INTERFINANC_E_INTERDEPEND;VERBETE_141_CORRESPONDENTES_NO_EXTERIOR + VERBETE_142_CORRESPONDENTES_NO_PAIS;"VERBETE_144_COBRANCA_EM_TRANSITO + VERBETE_145_ORDENS_DE_PAGAMENTO	+ VERBETE_146_VAL_LIGADAS_E_TERC_EM_TRANSITO + VERBETE_147_DEPENDENCIAS_NO_PAIS	+ VERBETE_152_SUPRIMENTOS_INTERDEPENDENCIAS";VERBETE_158_OUTR_REL_INTERF_E_INTERDEPEND;VERBETE_160_OPERACOES_DE_CREDITO;VERBETE_161_EMPRES_E_TIT_DESCONTADOS;VERBETE_162_FINANCIAMENTOS;VERBETE_163_FIN_RURAIS_AGRICUL_CUST/INVEST;VERBETE_167_FINANCIAMENTOS_AGROINDUSTRIAIS;VERBETE_169_FINANCIAMENTOS_IMOBILIARIOS;VERBETE_171_OUTRAS_OPERACOES_DE_CREDITO;VERBETE_172_OUTROS_CREDITOS;VERBETE_174_PROV_P/_OPER_CREDITOS;VERBETE_176_OPERACOES_ESPECIAIS;VERBETE_180_ARRENDAMENTO_MERCANTIL;VERBETE_184_PROV_P/OPER_ARR_MERCANTIL;VERBETE_190_OUTROS_VALORES_E_BENS;VERBETE_200_PERMANENTE;VERBETE_399_TOTAL_DO_ATIVO;VERBETE_401_SERVICOS_PUBLICOS + VERBETE_402_ATIVIDADES_EMPRESARIAIS + VERBETE_403_ESPECIAIS_DO_TESOURO_NACIONAL + VERBETE_404_SALDOS_CREDORES_EM_CONTAS_DE_EMPRESTIMOS_E_FINAN + VERBETE_411_DE_PESSOAS_FISICAS + VERBETE_412_DE_PESSOAS_JURIDICAS + VERBETE_413_DE_INSTITUICOES_FINANCEIRAS + VERBETE_414_JUDICIAIS + VERBETE_415_OBRIGATORIOS + VERBETE_416_PARA_INVESTIMENTOS + VERBETE_417_VINCULADOS + VERBETE_418_DEMAIS_DEPOSITOS + VERBETE_419_SLD_CRED_CTAS_EMPR_FINANC_OUTR;VERBETE_420_DEPOSITOS_DE_POUPANCA;VERBETE_430_DEPOSITOS_INTERIFNANCEIROS;VERBETE_431_DEPOSITOS_INTERFINANCEIROS;VERBETE_432_DEPOSITOS_A_PRAZO;VERBETE_433_CAPTACEOS_NO_MERCADO_ABERTO;VERBETE_440_REL_INTERFINANC_E_INTERDEPEND;VERBETE_441_CORRESPONDENTES_NO_EXTERIOR + VERBETE_442_CORRESPONDENTES_NO_PAIS;VERBETE_444_COBRANCA_EM_TRANSITO + VERBETE_445_ORDENS_DE_PAGAMENTO + VERBETE_446_VAL_DE_LIG_E_TERC_EM_TRANSITO + VERBETE_447_DEPENDENCIAS_NO_PAIS + VERBETE_456_SUPRIM_INTERDEPARTAMENTAIS + VERBETE_458_OUTR_REL_INTERFIN_INTERDEPEND;VERBETE_460_OBRIG_POR_EMP_E_REPASSES;VERBETE_461_BANCO_CENTRAL_ASSISTENCIA_FINANCEIRA + VERBETE_467_OPERACOES_ESPECIAIS + VERBETE_468_OUTR_OBRIG_POR_EMPR_E_REPASSES;VERBETE_470_INST_FINANCEIROS_DERIVATIVOS;VERBETE_480_OBRIGACOES_POR_RECEBIMENTO;VERBETE_481_IOF + VERBETE_482_CONTRIBUICOES_PREVIDENCIARIAS + VERBETE_483_TRIBUTOS_ESTAD_E_MUNICIPAIS + VERBETE_484_TRIBUTOS_FEDERAIS + VERBETE_485_FGTS + VERBETE_487_DEMAIS_RECEBIMENTOS;VERBETE_490_CHEQUES_ADMINISTRATIVOS + VERBETE_500_OUTRAS_OBRIGACOES;VERBETE_610_PATRIMONIO_LIQUIDO;VERBETE_710_CONTAS_DE_RESULTADO;VERBETE_711_CONTAS_CREDORAS;VERBETE_712_CONTAS_DEVEDORAS;VERBETE_899_TOTAL_DO_PASSIVO;CODMUN_IBGE
202310;AC;5184;MANOEL URBANO;00360305;CAIXA ECONOMICA FEDERAL;1;1;0;0;0;0;0;0;-11064248;722;0;-11064970;26492510;19688258;44732;3812182;0;4315093;102745;0;-1470501;0;0;0;0;0;15428262;2311234;9903795;651263;0;651263;0;96447;50;96397;0;0;0;41694;41695;1262030;0;1161797;1671670;-509873;15428262;1200344
202310;AC;9465;ASSIS BRASIL;00360305;CAIXA ECONOMICA FEDERAL;1;1;918283;918283;0;0;0;0;-6863574;94210;0;-6957784;16279965;14850694;0;1815387;0;409081;0;0;-795198;0;0;0;0;0;10334674;765093;6865592;1265851;0;1265851;0;20543;350;20193;0;0;0;27440;27440;871242;0;518912;870790;-351878;10334674;1200054
202310;AC;15978;FEIJO;00360305;CAIXA ECONOMICA FEDERAL;1;1;1183531;1183531;0;0;0;0;-32616099;219472;0;-32835572;59453648;40975768;733;938135;0;19416948;133771;0;-2011706;0;0;0;0;0;28021079;3035480;16853707;794648;0;794648;0;75627;0;75627;0;0;0;38963;38963;4917605;0;2305050;3400484;-1095435;28021079;1200302
202310;AC;15978;FEIJO;04902979;BCO DA AMAZONIA S.A.;1;1;498573;498573;0;0;0;0;0;0;0;0;13934589;4687708;100468;9132184;0;0;0;14229;0;0;0;0;0;0;14433162;4772462;6600464;462472;0;462472;0;1980957;0;1980957;0;0;0;775;775;36873;0;579159;791938;-212779;14433162;1200302
202310;AC;18690;XAPURI;04902979;BCO DA AMAZONIA S.A.;1;1;285575;285575;0;0;0;0;6182;0;0;6182;43716304;5998713;3160274;34549447;0;0;0;7870;0;0;0;0;0;0;44008061;9272277;5818956;182973;0;182973;0;27395991;0;27395991;0;0;0;941;941;12118;0;1324804;1512518;-187714;44008061;1200708
202310;AC;27478;TARAUACA;00000000;BCO DO BRASIL S.A.;1;1;3055604;3055604;0;0;0;710348;4832621;44659;4787962;0;263826903;125246409;2248598;120483909;6;2078713;0;13769267;0;0;0;0;21021;0;272446496;19012394;28710181;7244491;0;7244491;0;201917433;0;201917433;0;0;0;492204;492204;1409013;0;13660783;15816759;-2155976;272446496;1200609
202310;AC;27478;TARAUACA;00360305;CAIXA ECONOMICA FEDERAL;1;1;2742738;2742738;0;0;0;0;-54695884;67003;0;-54762887;95868760;68609835;0;2202235;0;28003857;927095;0;-3874263;0;0;0;0;0;43915613;6097959;24027688;3321500;0;3321500;0;173436;0;173436;0;0;0;34490;34490;6711279;0;3549262;5214195;-1664933;43915613;1200609
202310;AC;27478;TARAUACA;04902979;BCO DA AMAZONIA S.A.;1;1;232125;232125;0;0;0;0;358;0;0;358;25904094;5130045;608137;20086522;0;0;0;79389;0;0;0;0;0;0;26136577;2774112;6933354;111479;0;111479;0;15113818;0;15113817;0;0;0;949;949;18776;0;1184089;1398216;-214128;26136577;1200609
202310;AC;29074;SENA MADUREIRA;00000000;BCO DO BRASIL S.A.;1;1;1442634;1442634;0;0;0;0;4473516;25549;4447967;0;184581094;62547421;653474;111797229;0;1322537;0;8260432;0;0;0;0;13795;0;190511039;9195641;19969146;16088051;0;16088051;0;136562452;0;136562452;0;0;3;294331;294332;1025535;0;7375880;8981927;-1606047;190511039;1200500
202310;AC;29074;SENA MADUREIRA;00360305;CAIXA ECONOMICA FEDERAL;1;1;1720232;1720232;0;0;0;0;-45491397;129004;0;-45620401;105135964;42366144;89394;31769088;0;34299288;192142;0;-3580093;0;0;0;1611134;0;62975933;4812549;41466187;6471366;0;6471366;0;150392;300;150092;0;0;0;30249;30249;7587401;0;2457787;5590603;-3132816;62975933;1200500
202310;AC;29074;SENA MADUREIRA;04902979;BCO DA AMAZONIA S.A.;1;1;342778;342778;0;0;0;0;0;0;0;0;24852060;9979786;5608652;9107192;0;0;0;156430;0;0;0;0;0;0;25194838;8173043;12334194;49569;0;49569;0;3491182;0;3491182;0;0;0;1040;1040;19945;0;1125864;1486386;-360522;25194838;1200500
202310;AC;29988;PLACIDO DE CASTRO;00000000;BCO DO BRASIL S.A.;1;1;1183265;1183265;0;0;0;0;1524002;9993;1514008;0;114824765;34635342;1091820;74476430;0;338330;0;4282843;0;0;0;0;7587;0;117539618;4536885;11575778;4054234;0;4054234;0;91870306;0;91870306;0;0;0;34444;34443;880910;0;4587064;5283077;-696013;117539618;1200385
