#DATA_BASE;UF;CODMUN;MUNICIPIO;CNPJ;NOME_INSTITUICAO;AGEN_ESPERADAS;AGEN_PROCESSADAS;VERBETE_110_DISPONIBILIDADES;VERBETE_111_CAIXA;VERBETE_112_DEPOSITOS_BANCARIOS;VERBETE_113_BACEN_RESERV_BANC_EM_ESPECIE;VERBETE_120_APLIC_INTERFINANC_DE_LIQUIDEZ;VERBETE_130_TIT_E_VAL_MOB_E_INST_FIN_DERIV;VERBETE_140_REL_INTERFINANC_E_INTERDEPEND;VERBETE_141_CORRESPONDENTES_NO_EXTERIOR + VERBETE_142_CORRESPONDENTES_NO_PAIS;"VERBETE_144_COBRANCA_EM_TRANSITO + VERBETE_145_ORDENS_DE_PAGAMENTO	+ VERBETE_146_VAL_LIGADAS_E_TERC_EM_TRANSITO + VERBETE_147_DEPENDENCIAS_NO_PAIS	+ VERBETE_152_SUPRIMENTOS_INTERDEPENDENCIAS";VERBETE_158_OUTR_REL_INTERF_E_INTERDEPEND;VERBETE_160_OPERACOES_DE_CREDITO;VERBETE_161_EMPRES_E_TIT_DESCONTADOS;VERBETE_162_FINANCIAMENTOS;VERBETE_163_FIN_RURAIS_AGRICUL_CUST/INVEST;VERBETE_167_FINANCIAMENTOS_AGROINDUSTRIAIS;VERBETE_169_FINANCIAMENTOS_IMOBILIARIOS;VERBETE_171_OUTRAS_OPERACOES_DE_CREDITO;VERBETE_172_OUTROS_CREDITOS;VERBETE_174_PROV_P/_OPER_CREDITOS;VERBETE_176_OPERACOES_ESPECIAIS;VERBETE_180_ARRENDAMENTO_MERCANTIL;VERBETE_184_PROV_P/OPER_ARR_MERCANTIL;VERBETE_190_OUTROS_VALORES_E_BENS;VERBETE_200_PERMANENTE;VERBETE_399_TOTAL_DO_ATIVO;VERBETE_401_SERVICOS_PUBLICOS + VERBETE_402_ATIVIDADES_EMPRESARIAIS + VERBETE_403_ESPECIAIS_DO_TESOURO_NACIONAL + VERBETE_404_SALDOS_CREDORES_EM_CONTAS_DE_EMPRESTIMOS_E_FINAN + VERBETE_411_DE_PESSOAS_FISICAS + VERBETE_412_DE_PESSOAS_JURIDICAS + VERBETE_413_DE_INSTITUICOES_FINANCEIRAS + VERBETE_414_JUDICIAIS + VERBETE_415_OBRIGATORIOS + VERBETE_416_PARA_INVESTIMENTOS + VERBETE_417_VINCULADOS + VERBETE_418_DEMAIS_DEPOSITOS + VERBETE_419_SLD_CRED_CTAS_EMPR_FINANC_OUTR;VERBETE_420_DEPOSITOS_DE_POUPANCA;VERBETE_430_DEPOSITOS_INTERIFNANCEIROS;VERBETE_431_DEPOSITOS_INTERFINANCEIROS;VERBETE_432_DEPOSITOS_A_PRAZO;VERBETE_433_CAPTACEOS_NO_MERCADO_ABERTO;VERBETE_440_REL_INTERFINANC_E_INTERDEPEND;VERBETE_441_CORRESPONDENTES_NO_EXTERIOR + VERBETE_442_CORRESPONDENTES_NO_PAIS;VERBETE_444_COBRANCA_EM_TRANSITO + VERBETE_445_ORDENS_DE_PAGAMENTO + VERBETE_446_VAL_DE_LIG_E_TERC_EM_TRANSITO + VERBETE_447_DEPENDENCIAS_NO_PAIS + VERBETE_456_SUPRIM_INTERDEPARTAMENTAIS + VERBETE_458_OUTR_REL_INTERFIN_INTERDEPEND;VERBETE_460_OBRIG_POR_EMP_E_REPASSES;VERBETE_461_BANCO_CENTRAL_ASSISTENCIA_FINANCEIRA + VERBETE_467_OPERACOES_ESPECIAIS + VERBETE_468_OUTR_OBRIG_POR_EMPR_E_REPASSES;VERBETE_470_INST_FINANCEIROS_DERIVATIVOS;VERBETE_480_OBRIGACOES_POR_RECEBIMENTO;VERBETE_481_IOF + VERBETE_482_CONTRIBUICOES_PREVIDENCIARIAS + VERBETE_483_TRIBUTOS_ESTAD_E_MUNICIPAIS + VERBETE_484_TRIBUTOS_FEDERAIS + VERBETE_485_FGTS + VERBETE_487_DEMAIS_RECEBIMENTOS;VERBETE_490_CHEQUES_ADMINISTRATIVOS + VERBETE_500_OUTRAS_OBRIGACOES;VERBETE_610_PATRIMONIO_LIQUIDO;VERBETE_710_CONTAS_DE_RESULTADO;VERBETE_711_CONTAS_CREDORAS;VERBETE_712_CONTAS_DEVEDORAS;VERBETE_899_TOTAL_DO_PASSIVO;CODMUN_IBGE
202411;AC;5184;MANOEL URBANO;00360305;CAIXA ECONOMICA FEDERAL;1;1;1002577;1002577;0;0;0;0;-9538708;0;0;-9538708;28017221;20495641;27449;4779149;0;4003695;97207;0;-1385920;0;0;0;0;0;19481090;2456910;11845946;1781125;0;1781125;0;93619;250;93369;0;0;0;13364;13364;1884309;0;1405817;2116981;-711164;19481090;1200344
202411;AC;9465;ASSIS BRASIL;00360305;CAIXA ECONOMICA FEDERAL;1;1;1161088;1161088;0;0;0;0;-7827672;169585;0;-7997257;18341628;15844122;137127;849546;0;2785201;0;0;-1274368;0;0;0;0;0;11675044;1085547;6441172;1497002;0;1497002;0;36080;0;36080;0;0;0;6523;6523;1811020;0;797700;1438488;-640788;11675044;1200054
202411;AC;15978;FEIJO;00360305;CAIXA ECONOMICA FEDERAL;1;1;2091337;2091337;0;0;0;0;-32290213;166665;0;-32456878;68563162;45370761;0;852932;0;24294166;125147;0;-2079844;0;0;0;0;0;38364285;3219004;23110755;1986891;0;1986891;0;101030;900;100130;0;0;0;26818;26818;6457199;0;3462589;4705712;-1243123;38364285;1200302
202411;AC;15978;FEIJO;04902979;BCO DA AMAZONIA S.A.;1;1;576766;576766;0;0;0;0;0;0;0;0;14380122;5128577;1667539;7568852;0;0;0;15154;0;0;0;0;0;0;14956888;5765429;7147046;525179;0;525179;0;818153;0;818154;0;0;0;553;553;57184;0;643343;897275;-253932;14956888;1200302
202411;AC;18690;XAPURI;04902979;BCO DA AMAZONIA S.A.;1;1;328670;328670;0;0;0;0;6182;0;0;6182;59649465;6786885;8648739;44205957;0;0;0;7883;0;0;0;0;0;0;59984317;7986596;5650859;192641;0;192641;0;44028666;0;44028666;0;0;0;4181;4181;26907;0;2094466;2326540;-232073;59984317;1200708
202411;AC;27478;TARAUACA;00000000;BCO DO BRASIL S.A.;1;1;2685845;2685845;0;0;0;2505531;10142923;47115;10079748;16061;353631023;136641579;5168556;193941514;8;2290228;0;15589138;0;0;0;0;25881;0;368991204;20568270;34961513;10573895;0;10573895;0;279948989;0;279948989;0;0;0;288636;288638;2605095;0;20044804;23008183;-2963379;368991204;1200609
202411;AC;27478;TARAUACA;00360305;CAIXA ECONOMICA FEDERAL;1;1;2769017;2769017;0;0;0;0;-50555343;152855;600;-50708799;106501913;73687567;0;3460547;0;32448791;846053;0;-3941044;0;0;0;0;0;58715586;5882577;30855915;8051948;0;8051948;0;180208;170;180038;0;0;0;28873;28873;9378861;0;4337205;7163823;-2826619;58715586;1200609
202411;AC;27478;TARAUACA;04902979;BCO DA AMAZONIA S.A.;1;1;288961;288961;0;0;0;0;358;0;0;358;41465810;7516521;2016056;31851310;0;0;0;81923;0;0;0;0;0;0;41755128;4244358;8968174;190393;0;190393;0;24259117;0;24259117;0;0;0;495;495;22736;0;4069855;4456128;-386272;41755128;1200609
202411;AC;29074;SENA MADUREIRA;00000000;BCO DO BRASIL S.A.;1;1;1614346;1614346;0;0;0;597556;8370523;3293;8367230;0;236499515;70844886;852113;154160541;0;1240125;0;9401850;0;0;0;0;13894;0;247095834;14893613;22195420;19916684;0;19916684;0;175170429;0;175170429;0;0;3;270791;270792;1755207;0;12893687;14901313;-2007626;247095834;1200500
202411;AC;29074;SENA MADUREIRA;00360305;CAIXA ECONOMICA FEDERAL;1;1;1648456;1648456;0;0;0;0;-38093873;62622;0;-38156494;111479280;43785217;1921568;37650351;0;33062160;180517;0;-5120532;0;0;0;1378752;0;76412615;7317944;46719983;5213434;0;5213434;0;1177539;1760;1175779;0;0;0;17677;17677;11205304;0;4760733;7488017;-2727284;76412615;1200500
202411;AC;29074;SENA MADUREIRA;04902979;BCO DA AMAZONIA S.A.;1;1;180423;180423;0;0;0;0;0;0;0;0;27509717;10676256;5209466;11466337;0;0;0;157658;0;0;0;0;0;0;27690139;8179989;13634289;62412;0;62412;0;4589688;0;4589688;0;0;0;2989;2989;22474;0;1198299;1643422;-445123;27690139;1200500
